"Key_Species","Phytophthora","Eng_wEnv","Eng_trade","Wal_wEnv","Wal_trade","Scot_wEnv","Scot_trade","N.I_wEnv","N.I_trade","unknown_wEnv","unknown_trade","UK_total","Eng_total","Wal_total","Scot_total","N.I_total"
"Quercus ilex","Unspecified species",1,2,0,0,0,3,0,0,0,0,6,3,0,3,0
"Quercus petraea","P. castanetorum",0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
"Quercus petraea","P. gonapodyides",0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
"Quercus petraea","P. plurivora",0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
"Quercus petraea","P. psychrophila",0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
"Quercus petraea","P. ramorum",0,0,0,0,0,0,0,0,0,0,2,1,0,0,0
"Quercus petraea","P. syringae",0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
"Quercus petraea","Unspecified species",0,0,0,1,0,2,0,0,0,0,3,0,1,2,0
"Quercus robur","P. × cambivora",0,1,0,0,0,0,0,0,0,0,5,3,0,0,0
"Quercus robur","P. castanetorum",0,1,0,0,0,3,0,0,0,0,4,1,0,3,0
"Quercus robur","P. cinnamomi",1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"Quercus robur","P. foliorum",0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
"Quercus robur","P. kernoviae",4,0,0,0,0,0,0,0,0,0,4,4,0,0,0
"Quercus robur","P. plurivora",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"Quercus robur","P. quercina",0,0,0,0,0,0,0,0,0,0,3,0,0,1,0
"Quercus robur","P. ramorum",4,0,1,0,0,0,0,0,0,0,5,4,1,0,0
"Quercus robur","Unspecified species",0,3,0,1,0,5,0,0,0,0,9,3,1,5,0
"Tsuga heterophylla","P. × cambivora",0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
"Tsuga heterophylla","P. cinnamomi",0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
"Tsuga heterophylla","P. cryptogea",0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
"Tsuga heterophylla","P. pluvialis",0,0,0,0,28,0,0,0,1,0,30,0,0,28,0
"Tsuga heterophylla","P. pseudocryptogea",0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
"Tsuga heterophylla","P. ramorum",0,0,0,0,10,0,0,0,0,0,10,0,0,10,0
"Tsuga heterophylla","P. uniformis",0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
"Tsuga heterophylla","Unspecified species",0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
"Vaccinium myrtillus","P. cinnamomi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vaccinium myrtillus","P. kernoviae",70,0,0,0,0,0,0,0,0,0,77,73,0,0,0
"Vaccinium myrtillus","P. pseudosyringae",25,0,10,0,0,0,0,0,0,0,42,25,10,0,0
"Vaccinium myrtillus","P. ramorum",85,0,4,0,2,0,0,0,0,0,93,85,4,2,0
"Vaccinium myrtillus","Unspecified species",20,0,5,0,0,0,0,0,0,0,25,20,5,0,0
