"std_name_p","species","genus","L1.name","L2.name","L3.name","L4.name"
"P. cactorum","Fragaria × ananassa","Fragaria","Northern America","Southeastern U.S.A.","Virginia","Virginia"
"P. fragariae","Fragaria × ananassa","Fragaria","Asia-Temperate","Eastern Asia","Taiwan","Taiwan"
"P. fragariae","Fragaria × ananassa","Fragaria","Europe","Middle Europe","Netherlands","Netherlands"
"P. fragariae","Fragaria × ananassa","Fragaria","Northern America","Northeastern U.S.A.","Michigan","Michigan"
"P. fragariae","Fragaria × ananassa","Fragaria","Northern America","Southwestern U.S.A.","California","California"
"P. fragariae","Fragaria × ananassa","Fragaria","Northern America","Northeastern U.S.A.","New York","New York"
"P. fragariae","Fragaria × ananassa","Fragaria","Northern America","North-Central U.S.A.","Iowa","Iowa"
"P. fragariaefolia","Fragaria × ananassa","Fragaria","Asia-Temperate","Eastern Asia","Japan",NA
"P. megasperma","Fragaria × ananassa","Fragaria","Northern America","Southeastern U.S.A.","North Carolina","North Carolina"
"P. fragariae","Fragaria × ananassa","Fragaria","Australasia","New Zealand",NA,NA
"P. fragariae","Fragaria × ananassa","Fragaria","Northern America","Northwestern U.S.A.","Oregon","Oregon"
"P. cactorum","Fragaria × ananassa","Fragaria","Northern America","Northeastern U.S.A.","Michigan","Michigan"
"P. capsici","Fragaria × ananassa","Fragaria","Southern America","Brazil",NA,NA
"P. cactorum","Fragaria × ananassa","Fragaria","Europe","Southwestern Europe","France","France"
"P. cactorum","Fragaria × ananassa","Fragaria","Northern America","Southwestern U.S.A.","California","California"
"P. cactorum","Fragaria × ananassa","Fragaria","Northern America","North-Central U.S.A.","Oklahoma","Oklahoma"
"P. fragariae","Fragaria × ananassa","Fragaria","Europe","Middle Europe","Germany","Germany"
"P. fragariae","Fragaria × ananassa","Fragaria","Asia-Temperate","Eastern Asia","Japan",NA
"P. cactorum","Fragaria × ananassa","Fragaria","Asia-Temperate","Eastern Asia","Japan",NA
"P. cactorum","Fragaria × ananassa","Fragaria",NA,NA,NA,NA
"P. cactorum","Fragaria × ananassa","Fragaria","Asia-Temperate","Western Asia","Iran","Iran"
"P. fragariae","Fragaria × ananassa","Fragaria","Europe","Southeastern Europe","Bulgaria","Bulgaria"
"P. cactorum","Fragaria × ananassa","Fragaria","Northern America","North-Central U.S.A.","Wisconsin","Wisconsin"
"P. fragariae","Fragaria × ananassa","Fragaria","Northern America","Southeastern U.S.A.","Virginia","Virginia"
"P. cactorum","Fragaria × ananassa","Fragaria","Northern America","Northeastern U.S.A.","New York","New York"
"P. fragariae","Fragaria × ananassa","Fragaria","Europe","Northern Europe","Ireland","Ireland"
"P. cactorum","Fragaria × ananassa","Fragaria","Europe","Middle Europe","Poland","Poland"
"P. nicotianae","Fragaria × ananassa","Fragaria","Northern America",NA,NA,NA
"P. cactorum","Fragaria × ananassa","Fragaria","Australasia","Australia",NA,NA
