"std_name_p","species","genus","L1.name","L2.name","L3.name","L4.name"
"P. citrophthora","Citrus × microcarpa","Citrus","Europe","Northern Europe","Great Britain","Great Britain"
"P. gonapodyides","× Hesperotropsis leylandii","Hesperotropsis","Europe","Northern Europe","Great Britain","Great Britain"
"P. cryptogea","× Hesperotropsis leylandii","Hesperotropsis","Europe","Northern Europe","Great Britain","Great Britain"
"P. cactorum","Aesculus × carnea","Aesculus","Europe","Middle Europe","Czechoslovakia","Czech Republic"
"P. plurivora",NA,"Abelia","Europe","Southwestern Europe","Spain","Spain"
"P. multivora","Abelia × grandiflora","Abelia","Europe","Northern Europe","Great Britain","Great Britain"
"P. cinnamomi","Abelia schumannii","Abelia","Australasia","New Zealand",NA,NA
"P. nicotianae","Abelmoschus esculentus","Abelmoschus","Northern America","Southwestern U.S.A.","California","California"
"P. nicotianae","Abelmoschus esculentus","Abelmoschus","Asia-Temperate","Western Asia","Iraq","Iraq"
"P. capsici","Abelmoschus esculentus","Abelmoschus","Northern America",NA,NA,NA
"P. palmivora","Abelmoschus esculentus","Abelmoschus","Asia-Tropical","Indian Subcontinent","India",NA
"P. nicotianae","Abelmoschus manihot","Abelmoschus","Asia-Temperate","Eastern Asia","Japan",NA
"P. nicotianae","Abelmoschus manihot","Abelmoschus","Pacific","Southwestern Pacific","Fiji","Fiji"
"P. nicotianae","Abelmoschus manihot","Abelmoschus","Asia-Tropical","Papuasia","New Guinea","Papua New Guinea"
"P. cinnamomi",NA,"Abies","Europe","Southwestern Europe","Spain","Spain"
"P. personensis",NA,"Abies","Europe","Northern Europe","Norway","Norway"
"P. ramorum",NA,"Abies","Europe","Northern Europe","Ireland","Ireland"
"P. ramorum",NA,"Abies",NA,NA,NA,NA
"P. cinnamomi",NA,"Abies","Australasia","New Zealand",NA,NA
"P. citrophthora",NA,"Abies","Europe","Northern Europe","Great Britain","Great Britain"
"P. × cambivora",NA,"Abies","Northern America","Northwestern U.S.A.","Oregon","Oregon"
"P. kelmanii",NA,"Abies","Northern America",NA,NA,NA
"P. cactorum",NA,"Abies","Europe","Southeastern Europe","Greece","Greece"
"P. citricola",NA,"Abies","Northern America","North-Central U.S.A.","Minnesota","Minnesota"
"P. cryptogea",NA,"Abies","Europe","Northern Europe","Great Britain","Great Britain"
"P. cactorum",NA,"Abies","Asia-Temperate","Eastern Asia","Japan",NA
"P. ramorum",NA,"Abies","Europe","Northern Europe","Great Britain","Great Britain"
"P. cactorum",NA,"Abies","Europe","Middle Europe","Germany","Germany"
"P. citricola","Abies alba","Abies","Europe","Middle Europe","Poland","Poland"
"P. cryptogea","Abies alba","Abies","Europe","Middle Europe","Poland","Poland"
"P. cinnamomi","Abies alba","Abies","Europe","Middle Europe","Poland","Poland"
"P. plurivora","Abies alba","Abies","Europe","Middle Europe","Germany","Germany"
"P. cactorum","Abies alba","Abies","Europe","Middle Europe","Poland","Poland"
"P. megasperma","Abies alba","Abies","Europe","Southeastern Europe","Italy","Italy"
"P. cactorum","Abies alba","Abies","Europe","Middle Europe","Germany","Germany"
"P. cinnamomi","Abies alba","Abies","Northern America",NA,NA,NA
"P. plurivora","Abies alba","Abies","Europe","Middle Europe","Poland","Poland"
"P. cactorum","Abies alba","Abies","Europe","Northern Europe","Sweden","Sweden"
"P. cactorum","Abies alba","Abies","Europe","Northern Europe","Denmark","Denmark"
"P. cinnamomi","Abies alba","Abies","Europe","Southeastern Europe","Italy","Italy"
"P. cactorum","Abies amabilis","Abies","Northern America","Northwestern U.S.A.","Washington","Washington"
"P. cactorum","Abies amabilis","Abies","Northern America",NA,NA,NA
"P. cactorum","Abies amabilis","Abies","Northern America","Northwestern U.S.A.","Oregon","Oregon"
"P. cinnamomi","Abies balsamea","Abies","Australasia","Australia",NA,NA
"P. cactorum","Abies balsamea","Abies","Northern America","North-Central U.S.A.","Wisconsin","Wisconsin"
"P. citricola","Abies balsamea","Abies","Northern America","Northeastern U.S.A.","Michigan","Michigan"
"P. cactorum","Abies balsamea","Abies","Northern America","Northeastern U.S.A.","Michigan","Michigan"
"P. cinnamomi","Abies balsamea","Abies","Northern America","Southeastern U.S.A.","North Carolina","North Carolina"
"P. citricola","Abies balsamea","Abies","Northern America",NA,NA,NA
"P. pini","Abies balsamea","Abies","Northern America","Northeastern U.S.A.","Connecticut","Connecticut"
"P. cactorum","Abies balsamea","Abies","Northern America","Southeastern U.S.A.","Virginia","Virginia"
"P. cinnamomi","Abies nordmanniana","Abies","Northern America","Southeastern U.S.A.","North Carolina","North Carolina"
"P. kelmanii","Abies nordmanniana","Abies","Northern America","Southeastern U.S.A.","North Carolina","North Carolina"
"P. citricola","Abies concolor","Abies","Northern America","Southwestern U.S.A.","California","California"
"P. cryptogea","Abies concolor","Abies","Northern America",NA,NA,NA
"P. citricola","Abies concolor","Abies","Northern America",NA,NA,NA
"P. cinnamomi","Abies concolor","Abies","Northern America","Southwestern U.S.A.","California","California"
"P. cryptogea","Abies concolor","Abies","Northern America","Northwestern U.S.A.","Washington","Washington"
"P. cryptogea","Abies concolor","Abies","Europe","Southwestern Europe","Spain","Spain"
"P. cactorum","Abies concolor","Abies","Northern America","Southwestern U.S.A.","California","California"
"P. pini","Abies concolor","Abies","Northern America","Northeastern U.S.A.","Michigan","Michigan"
"P. cryptogea","Abies concolor","Abies","Northern America","Northwestern U.S.A.","Oregon","Oregon"
"P. cinnamomi","Abies concolor","Abies","Northern America","Southeastern U.S.A.","North Carolina","North Carolina"
"P. cinnamomi","Abies nordmanniana","Abies","Northern America","Southwestern U.S.A.","California","California"
"P. cactorum","Abies firma","Abies","Asia-Temperate","Eastern Asia","Japan",NA
"P. inundata","Abies fraseri","Abies","Northern America","Northeastern U.S.A.","Michigan","Michigan"
"P. kelmanii","Abies fraseri","Abies","Northern America",NA,NA,NA
"P. plurivora","Abies fraseri","Abies","Northern America",NA,NA,NA
"P. citricola","Abies fraseri","Abies","Northern America",NA,NA,NA
"P. megasperma","Abies fraseri","Abies","Northern America","Northeastern U.S.A.","Michigan","Michigan"
"P. plurivora","Abies fraseri","Abies","Northern America","North-Central U.S.A.","Wisconsin","Wisconsin"
"P. pini","Abies fraseri","Abies","Northern America","Northeastern U.S.A.","Michigan","Michigan"
"P. pini","Abies fraseri","Abies","Northern America",NA,NA,NA
"P. gonapodyides","Abies fraseri","Abies","Northern America","Northeastern U.S.A.","Michigan","Michigan"
"P. pini","Abies fraseri","Abies","Northern America","Northeastern U.S.A.","New York","New York"
"P. citricola","Abies fraseri","Abies","Northern America","Northeastern U.S.A.","Michigan","Michigan"
"P. plurivora","Abies fraseri","Abies","Northern America","Southeastern U.S.A.","North Carolina","North Carolina"
"P. cactorum","Abies fraseri","Abies","Northern America","Northeastern U.S.A.","Michigan","Michigan"
"P. plurivora","Abies fraseri","Abies","Northern America","Northeastern U.S.A.","Michigan","Michigan"
"P. cinnamomi","Abies fraseri","Abies","Northern America",NA,NA,NA
"P. nicotianae","Abies fraseri","Abies","Northern America","Northeastern U.S.A.","Michigan","Michigan"
"P. cactorum","Abies fraseri","Abies","Northern America","Northeastern U.S.A.","Connecticut","Connecticut"
"P. cinnamomi","Abies fraseri","Abies","Northern America","Southeastern U.S.A.","North Carolina","North Carolina"
"P. kelmanii","Abies fraseri","Abies","Northern America","Northeastern U.S.A.","Connecticut","Connecticut"
"P. cryptogea","Abies fraseri","Abies","Northern America","Southeastern U.S.A.","North Carolina","North Carolina"
"P. citricola","Abies fraseri","Abies","Northern America","Southeastern U.S.A.","North Carolina","North Carolina"
"P. europaea","Abies fraseri","Abies","Northern America",NA,NA,NA
"P. kelmanii","Abies fraseri","Abies","Northern America","Southeastern U.S.A.","North Carolina","North Carolina"
"P. plurivora","Abies fraseri","Abies","Northern America","Northeastern U.S.A.","Connecticut","Connecticut"
"P. cactorum","Abies fraseri","Abies","Northern America","North-Central U.S.A.","Wisconsin","Wisconsin"
"P. europaea","Abies fraseri","Abies","Northern America","Northeastern U.S.A.","Michigan","Michigan"
"P. pseudocryptogea","Abies fraseri","Abies","Northern America","Southeastern U.S.A.","North Carolina","North Carolina"
"P. pini","Abies fraseri","Abies","Northern America","Southeastern U.S.A.","North Carolina","North Carolina"
"P. europaea","Abies fraseri","Abies","Northern America","North-Central U.S.A.","Wisconsin","Wisconsin"
"P. sansomeana","Abies fraseri","Abies","Northern America","Northeastern U.S.A.","New York","New York"
"P. cinnamomi","Abies fraseri","Abies","Northern America","Northeastern U.S.A.","West Virginia","West Virginia"
"P. kelmanii","Abies fraseri","Abies","Northern America","Northeastern U.S.A.","New York","New York"
"P. sansomeana","Abies fraseri","Abies","Northern America","North-Central U.S.A.","Wisconsin","Wisconsin"
"P. drechsleri","Abies fraseri","Abies","Northern America","Southeastern U.S.A.","North Carolina","North Carolina"
"P. pseudosyringae","Abies fraseri","Abies","Northern America","Northwestern U.S.A.","Washington","Washington"
"P. citrophthora","Abies fraseri","Abies","Northern America",NA,NA,NA
"P. sansomeana","Abies fraseri","Abies","Northern America","Northeastern U.S.A.","Michigan","Michigan"
"P. × cambivora","Abies fraseri","Abies","Northern America","Northeastern U.S.A.","Michigan","Michigan"
"P. lacustris","Abies fraseri","Abies","Northern America","Northeastern U.S.A.","Michigan","Michigan"
"P. pseudotsugae","Abies grandis","Abies","Europe","Northern Europe","Great Britain","Great Britain"
"P. gonapodyides","Abies grandis","Abies","Northern America","Northwestern U.S.A.","Oregon","Oregon"
"P. ramorum","Abies grandis","Abies","Northern America","Southwestern U.S.A.","California","California"
"P. pseudocryptogea","Abies grandis","Abies","Europe","Northern Europe","Great Britain","Great Britain"
"P. ramorum","Abies grandis","Abies","Northern America","Northwestern U.S.A.","Oregon","Oregon"
"P. cryptogea","Abies grandis","Abies","Europe","Northern Europe","Great Britain","Great Britain"
"P. megasperma","Abies grandis","Abies","Europe","Northern Europe","Great Britain","Great Britain"
"P. megasperma","Abies grandis","Abies","Northern America","Northwestern U.S.A.","Idaho","Idaho"
"P. citricola","Abies grandis","Abies","Europe","Northern Europe","Great Britain","Great Britain"
"P. plurivora","Abies koreana","Abies","Europe","Middle Europe","Czechoslovakia","Czech Republic"
"P. citrophthora","Abies lasiocarpa","Abies","Europe","Middle Europe","Hungary","Hungary"
"P. megasperma","Abies lasiocarpa","Abies","Europe","Northern Europe","Norway","Norway"
"P. citricola","Abies magnifica","Abies","Northern America","Southwestern U.S.A.","California","California"
"P. ramorum","Abies magnifica","Abies","Northern America","Southwestern U.S.A.","California","California"
"P. citricola","Abies magnifica","Abies","Northern America",NA,NA,NA
"P. cryptogea","Abies magnifica","Abies","Northern America","Northwestern U.S.A.","Washington","Washington"
"P. cactorum","Abies magnifica","Abies","Northern America","Northwestern U.S.A.","Washington","Washington"
"P. cryptogea","Abies magnifica","Abies","Northern America",NA,NA,NA
"P. cryptogea","Abies magnifica","Abies","Northern America","Northwestern U.S.A.","Oregon","Oregon"
"P. cryptogea","Abies procera","Abies","Northern America","Northwestern U.S.A.","Oregon","Oregon"
"P. plurivora","Abies procera","Abies","Europe","Northern Europe","Great Britain","Great Britain"
"P. cryptogea","Abies procera","Abies","Europe","Northern Europe","Ireland","Ireland"
"P. cryptogea","Abies procera","Abies","Northern America",NA,NA,NA
"P. × cambivora","Abies procera","Abies","Europe","Northern Europe","Great Britain","Great Britain"
"P. obscura","Abies procera","Abies","Europe","Northern Europe","Great Britain","Great Britain"
"P. foliorum","Abies procera","Abies","Europe","Northern Europe","Great Britain","Great Britain"
"P. cinnamomi","Abies nordmanniana","Abies","Northern America",NA,NA,NA
"P. nicotianae","Abies nordmanniana","Abies","Europe","Middle Europe","Hungary","Hungary"
"P. × cambivora","Abies nordmanniana","Abies","Europe","Middle Europe","Hungary","Hungary"
"P. niederhauserii","Abies nordmanniana","Abies","Europe","Middle Europe","Hungary","Hungary"
"P. cinnamomi","Abies nordmanniana","Abies","Europe","Southwestern Europe","Spain","Spain"
"P. inundata","Abies nordmanniana","Abies","Europe","Northern Europe","Norway","Norway"
"P. cinnamomi","Abies pinsapo","Abies","Europe","Southwestern Europe","Spain","Spain"
"P. citricola","Abies procera","Abies","Europe","Northern Europe","Great Britain","Great Britain"
"P. × cambivora","Abies procera","Abies","Northern America","Northwestern U.S.A.","Oregon","Oregon"
"P. megasperma","Abies procera","Abies","Northern America","Northwestern U.S.A.","Washington","Washington"
"P. × cambivora","Abies procera","Abies","Australasia","Australia","Western Australia","Western Australia"
"P. pseudocryptogea","Abies procera","Abies","Europe","Northern Europe","Great Britain","Great Britain"
"P. ramorum","Abies procera","Abies","Europe","Northern Europe","Ireland","Ireland"
"P. oreophila","Abies procera","Abies","Europe","Northern Europe","Great Britain","Great Britain"
"P. megasperma","Abies procera","Abies","Australasia","Australia","Western Australia","Western Australia"
"P. cryptogea","Abies procera","Abies","Northern America","Northwestern U.S.A.","Washington","Washington"
"P. × cambivora","Abies procera","Abies","Northern America",NA,NA,NA
"P. gonapodyides","Abies procera","Abies","Northern America","Northwestern U.S.A.","Washington","Washington"
"P. cactorum","Abies procera","Abies","Northern America","Northwestern U.S.A.","Oregon","Oregon"
"P. cinnamomi","Abies procera","Abies","Northern America","Southeastern U.S.A.","North Carolina","North Carolina"
"P. cactorum","Abies procera","Abies","Northern America","Northwestern U.S.A.","Washington","Washington"
"P. plurivora","Abies procera","Abies","Europe","Middle Europe","Hungary","Hungary"
"P. citrophthora","Abies procera","Abies","Europe","Middle Europe","Hungary","Hungary"
"P. × cambivora","Abies procera","Abies","Northern America","Northwestern U.S.A.","Washington","Washington"
"P. ramorum","Abies procera","Abies","Europe","Northern Europe","Ireland","Northern Ireland"
"P. megasperma","Abies procera","Abies","Northern America","Northwestern U.S.A.","Oregon","Oregon"
"P. cryptogea","Abies procera","Abies","Europe","Northern Europe","Great Britain","Great Britain"
"P. cactorum","Abies procera","Abies","Northern America",NA,NA,NA
"P. cactorum","Abies procera","Abies","Northern America","Northeastern U.S.A.","Michigan","Michigan"
"P. citricola","Abies procera","Abies","Northern America","Northwestern U.S.A.","Washington","Washington"
"P. megasperma","Abies procera","Abies","Europe","Northern Europe",NA,NA
"P. megasperma","Abies procera","Abies","Europe","Northern Europe","Great Britain","Great Britain"
"P. × cambivora","Abies procera","Abies","Europe","Northern Europe","Norway","Norway"
"P. cinnamomi","Abies procera","Abies","Northern America","Northwestern U.S.A.","Oregon","Oregon"
"P. citricola","Abies procera","Abies","Northern America","Northwestern U.S.A.","Oregon","Oregon"
"P. ramorum","Abies procera","Abies","Europe","Northern Europe","Great Britain","Great Britain"
"P. cinnamomi","Abies procera","Abies","Europe","Northern Europe","Great Britain","Great Britain"
"P. cinnamomi","Abies sibirica","Abies","Northern America",NA,NA,NA
"P. megasperma","Abies veitchii","Abies","Europe","Middle Europe","Czechoslovakia","Czech Republic"
"P. citrophthora","Abies vejarii","Abies","Europe","Northern Europe","Great Britain","Great Britain"
"P. plurivora",NA,"Abutilon","Europe","Northern Europe","Great Britain","Great Britain"
"P. nicotianae",NA,"Abutilon","Asia-Temperate","Eastern Asia","Japan",NA
"P. plurivora",NA,"Abutilon","Europe","Northern Europe",NA,NA
"P. erythroseptica",NA,"Abutilon","Europe","Northern Europe","Great Britain","Great Britain"
"P. nicotianae","Callianthe megapotamica","Callianthe","Asia-Temperate","Eastern Asia","Taiwan","Taiwan"
"P. gondwanensis",NA,"Acacia","Southern America","Brazil",NA,NA
"P. cactorum",NA,"Acacia","Europe","Middle Europe","Germany","Germany"
"P. cinnamomi","Acacia baileyana","Acacia","Australasia","New Zealand",NA,NA
"P. citrophthora","Acacia dealbata","Acacia","Europe","Northern Europe","Great Britain","Great Britain"
"P. niederhauserii","Acacia dealbata","Acacia","Europe","Southeastern Europe","Italy","Italy"
"P. palmivora","Acacia dealbata","Acacia","Europe","Southeastern Europe","Greece","Greece"
"P. cinnamomi","Acacia dealbata","Acacia","Australasia","Australia",NA,NA
"P. niederhauserii","Acacia dealbata","Acacia","Europe","Southeastern Europe","Yugoslavia","Croatia"
"P. frigida","Acacia decurrens","Acacia","Africa","Southern Africa",NA,NA
"P. nicotianae","Acacia drummondii","Acacia","Australasia","Australia",NA,NA
"P. cinnamomi","Acacia huegelii","Acacia","Australasia","Australia",NA,NA
"P. cinnamomi","Acacia koa","Acacia","Pacific","North-Central Pacific","Hawaii",NA
"P. cryptogea","Acacia longifolia","Acacia","Australasia","Australia",NA,NA
"P. acaciivora","Acacia mangium","Acacia","Asia-Tropical","Indo-China","Vietnam","Vietnam"
"P. boehmeriae","Acacia mearnsii","Acacia","Southern America","Brazil",NA,NA
"P. nicotianae","Acacia mearnsii","Acacia","Africa","Southern Africa",NA,NA
"P. boehmeriae","Acacia mearnsii","Acacia","Africa","Southern Africa",NA,NA
"P. acaciae","Acacia mearnsii","Acacia","Southern America","Brazil",NA,NA
"P. meadii","Acacia mearnsii","Acacia","Africa","Southern Africa",NA,NA
"P. frigida","Acacia mearnsii","Acacia","Southern America","Brazil",NA,NA
"P. gondwanensis","Acacia mearnsii","Acacia","Southern America","Brazil",NA,NA
"P. cinnamomi","Acacia melanoxylon","Acacia","Pacific","North-Central Pacific","Hawaii",NA
"P. cinnamomi","Acacia myrtifolia","Acacia","Australasia","Australia",NA,NA
"P. cryptogea","Acacia notabilis","Acacia","Australasia","Australia",NA,NA
"P. gibbosa","Acacia pycnantha","Acacia","Australasia","Australia","Western Australia","Western Australia"
"P. gibbosa","Acacia pycnantha","Acacia","Australasia","Australia",NA,NA
"P. cryptogea","Acacia salicina","Acacia","Australasia","Australia",NA,NA
"P. cinnamomi","Acacia verticillata","Acacia","Australasia","New Zealand",NA,NA
"P. cinnamomi","Acacia verticillata","Acacia","Australasia","Australia",NA,NA
"P. cactorum","Feijoa sellowiana","Feijoa","Australasia","New Zealand","New Zealand North","New Zealand North"
"P. ramorum",NA,"Acer","Europe","Northern Europe","Great Britain","Great Britain"
"P. × cambivora",NA,"Acer","Europe","Southwestern Europe","France","France"
"P. cryptogea",NA,"Acer","Europe","Northern Europe","Great Britain","Great Britain"
"P. hedraiandra",NA,"Acer","Europe","Northern Europe","Great Britain","Great Britain"
"P. plurivora",NA,"Acer","Europe","Northern Europe","Great Britain","Great Britain"
"P. multivora",NA,"Acer","Europe","Northern Europe","Great Britain","Great Britain"
"P. × cambivora",NA,"Acer","Northern America","Northeastern U.S.A.","New Jersey","New Jersey"
"P. inundata",NA,"Acer","Europe","Northern Europe","Great Britain","Great Britain"
"P. cactorum",NA,"Acer","Northern America","Northeastern U.S.A.","New Jersey","New Jersey"
"P. infestans",NA,"Acer",NA,NA,NA,NA
"P. ramorum",NA,"Acer",NA,NA,NA,NA
"P. × cambivora",NA,"Acer","Europe","Northern Europe","Great Britain","Great Britain"
"P. citricola",NA,"Acer","Europe","Northern Europe","Great Britain","Great Britain"
"P. megasperma",NA,"Acer","Europe","Northern Europe","Great Britain","Great Britain"
"P. cinnamomi",NA,"Acer","Europe","Southwestern Europe","Spain","Spain"
"P. cactorum",NA,"Acer","Asia-Temperate","Eastern Asia","Japan",NA
"P. plurivora",NA,"Acer","Northern America","Northeastern U.S.A.","West Virginia","West Virginia"
"P. citrophthora",NA,"Acer","Europe","Northern Europe","Great Britain","Great Britain"
"P. pseudosyringae",NA,"Acer","Europe","Northern Europe","Great Britain","Great Britain"
"P. cactorum",NA,"Acer","Asia-Temperate","Eastern Asia","Taiwan","Taiwan"
"P. citricola",NA,"Acer","Northern America","North-Central U.S.A.","Minnesota","Minnesota"
"P. cactorum",NA,"Acer","Northern America","Northeastern U.S.A.","Rhode I.","Rhode I."
"P. cactorum",NA,"Acer","Europe","Middle Europe","Germany","Germany"
"P. cactorum",NA,"Acer","Northern America","Southwestern U.S.A.","California","California"
"P. cactorum",NA,"Acer","Europe","Northern Europe","Great Britain","Great Britain"
"P. cactorum",NA,"Acer","Northern America",NA,NA,NA
"P. cactorum",NA,"Acer","Northern America","Northeastern U.S.A.","Massachusetts","Massachusetts"
"P. cactorum","Acer × freemanii","Acer","Northern America",NA,NA,NA
"P. citricola","Acer barbinerve","Acer","Europe","Eastern Europe","Northwest European Russia","Northwest European Russia"
"P. plurivora","Acer campestre","Acer","Europe","Middle Europe","Czechoslovakia","Slovakia"
"P. plurivora","Acer campestre","Acer","Europe","Middle Europe","Germany","Germany"
"P. plurivora","Acer campestre","Acer","Europe","Southeastern Europe","Yugoslavia","Serbia"
"P. plurivora","Acer campestre","Acer","Europe","Middle Europe","Switzerland","Switzerland"
"P. cactorum","Acer campestre","Acer","Europe","Middle Europe","Poland","Poland"
"P. plurivora","Acer campestre","Acer","Europe","Northern Europe","Great Britain","Great Britain"
"P. cactorum","Acer capillipes","Acer","Europe","Northern Europe",NA,NA
"P. multivora","Acer circinatum","Acer","Northern America",NA,NA,NA
"P. occultans","Acer circinatum","Acer","Northern America",NA,NA,NA
"P. cactorum","Acer circinatum","Acer","Northern America",NA,NA,NA
"P. cryptogea","Acer davidii","Acer","Europe","Northern Europe","Great Britain","Great Britain"
"P. plurivora","Acer × freemanii","Acer","Europe","Middle Europe","Germany","Germany"
"P. plurivora","Acer japonicum","Acer","Europe","Middle Europe","Switzerland","Switzerland"
"P. cactorum","Acer japonicum","Acer","Europe","Middle Europe","Switzerland","Switzerland"
"P. ramorum","Acer macrophyllum","Acer","Northern America","Southwestern U.S.A.","California","California"
"P. plurivora","Acer macrophyllum","Acer","Northern America","Southwestern U.S.A.","California","California"
"P. cactorum","Acer macrophyllum","Acer","Northern America",NA,NA,NA
"P. citricola","Acer miyabei","Acer","Europe","Eastern Europe","Northwest European Russia","Northwest European Russia"
"P. cinnamomi","Acer negundo","Acer","Europe","Southwestern Europe","Spain","Spain"
"P. citrophthora","Acer negundo","Acer","Southern America","Southern South America",NA,NA
"P. cinnamomi","Acer negundo","Acer","Europe","Northern Europe",NA,NA
"P. multivora","Acer negundo","Acer","Northern America","Southwestern U.S.A.","California","California"
"P. syringae","Acer negundo","Acer","Europe","Middle Europe","Germany","Germany"
"P. citrophthora","Acer negundo","Acer","Europe","Northern Europe","Great Britain","Great Britain"
"P. cactorum","Acer saccharum","Acer","Northern America",NA,NA,NA
"P. cactorum","Acer saccharum","Acer","Northern America","Northeastern U.S.A.","Rhode I.","Rhode I."
"P. cactorum","Acer saccharum","Acer","Northern America","Northeastern U.S.A.","New Jersey","New Jersey"
"P. cactorum","Acer saccharum","Acer","Northern America","Northeastern U.S.A.","Massachusetts","Massachusetts"
"P. attenuata","Acer oblongum","Acer","Asia-Tropical","Indo-China","Vietnam","Vietnam"
"P. uniformis","Acer palmatum","Acer","Europe","Northern Europe","Great Britain","Great Britain"
"P. × cambivora","Acer palmatum","Acer","Europe","Northern Europe",NA,NA
"P. occultans","Acer palmatum","Acer","Europe","Northern Europe",NA,NA
"P. cactorum","Acer palmatum","Acer","Europe","Middle Europe","Germany","Germany"
"P. cryptogea","Acer palmatum","Acer","Europe","Northern Europe","Great Britain","Great Britain"
"P. syringae","Acer palmatum","Acer","Europe","Northern Europe","Great Britain","Great Britain"
"P. × cambivora","Acer palmatum","Acer","Europe","Northern Europe","Great Britain","Great Britain"
"P. foliorum","Acer palmatum","Acer","Europe","Northern Europe","Great Britain","Great Britain"
"P. citricola","Acer palmatum","Acer","Europe","Southwestern Europe","Spain","Spain"
"P. cinnamomi","Acer palmatum","Acer","Asia-Temperate","Eastern Asia","Korea",NA
"P. rubi","Acer palmatum","Acer","Europe","Northern Europe","Great Britain","Great Britain"
"P. pseudocryptogea","Acer palmatum","Acer","Europe","Northern Europe","Great Britain","Great Britain"
"P. obscura","Acer palmatum","Acer","Europe","Northern Europe","Great Britain","Great Britain"
"P. castanetorum","Acer palmatum","Acer","Europe","Northern Europe","Great Britain","Great Britain"
"P. cactorum","Acer palmatum","Acer","Europe",NA,NA,NA
"P. cactorum","Acer palmatum","Acer","Asia-Temperate","Eastern Asia","Japan",NA
"P. plurivora","Acer palmatum","Acer","Europe","Middle Europe","Germany","Germany"
"P. × cambivora","Acer palmatum","Acer","Europe","Middle Europe","Germany","Germany"
"P. ilicis","Acer palmatum","Acer","Europe","Northern Europe","Great Britain","Great Britain"
"P. × cambivora","Acer pensylvanicum","Acer","Europe","Middle Europe","Poland","Poland"
"P. ramorum","Acer pensylvanicum","Acer","Europe","Northern Europe",NA,NA
"P. × cambivora","Acer pensylvanicum","Acer","Europe","Northern Europe",NA,NA
"P. ramorum","Acer pensylvanicum","Acer","Europe","Northern Europe","Great Britain","Great Britain"
"P. plurivora","Acer platanoides","Acer","Europe","Middle Europe","Czechoslovakia","Czech Republic"
"P. × cambivora","Acer platanoides","Acer","Europe","Middle Europe","Czechoslovakia","Czech Republic"
"P. bilorbang","Acer platanoides","Acer","Europe","Middle Europe","Czechoslovakia","Czech Republic"
"P. plurivora","Acer platanoides","Acer","Europe","Middle Europe","Switzerland","Switzerland"
"P. gonapodyides","Acer platanoides","Acer","Europe","Middle Europe","Czechoslovakia","Czech Republic"
"P. plurivora","Acer platanoides","Acer","Europe","Middle Europe","Germany","Germany"
"P. × cambivora","Acer platanoides","Acer","Northern America","Northeastern U.S.A.","New Jersey","New Jersey"
"P. cactorum","Acer platanoides","Acer","Europe","Southwestern Europe","France","France"
"P. cactorum","Acer platanoides","Acer","Northern America","Northeastern U.S.A.","Rhode I.","Rhode I."
"P. × cambivora","Acer platanoides","Acer","Northern America",NA,NA,NA
"P. plurivora","Acer platanoides","Acer","Europe","Northern Europe","Great Britain","Great Britain"
"P. plurivora","Acer platanoides","Acer","Northern America","North-Central U.S.A.","Wisconsin","Wisconsin"
"P. cactorum","Acer platanoides","Acer","Northern America",NA,NA,NA
"P. × cambivora","Acer platanoides","Acer","Europe","Northern Europe",NA,NA
"P. cactorum","Acer platanoides","Acer","Europe","Middle Europe","Germany","Germany"
"P. cactorum","Acer platanoides","Acer","Northern America","Northeastern U.S.A.","Massachusetts","Massachusetts"
"P. cactorum","Acer platanoides","Acer","Northern America","Northeastern U.S.A.","New Jersey","New Jersey"
"P. cactorum","Acer platanoides","Acer","Northern America","Southeastern U.S.A.","Virginia","Virginia"
"P. cactorum","Acer platanoides","Acer","Northern America","Northeastern U.S.A.","New York","New York"
"P. gonapodyides","Acer platanoides","Acer","Europe","Middle Europe","Germany","Germany"
"P. cactorum","Acer platanoides","Acer","Northern America","Northeastern U.S.A.","Connecticut","Connecticut"
"P. cactorum","Acer pseudoplatanus","Acer","Europe","Middle Europe","Czechoslovakia","Czech Republic"
"P. rosacearum","Acer pseudoplatanus","Acer","Europe","Middle Europe","Czechoslovakia","Czech Republic"
"P. pachypleura","Acer pseudoplatanus","Acer","Europe","Southeastern Europe","Italy","Italy"
"P. × cambivora","Acer pseudoplatanus","Acer","Europe","Middle Europe","Czechoslovakia","Czech Republic"
"P. cactorum","Acer pseudoplatanus","Acer","Northern America","Northeastern U.S.A.","Rhode I.","Rhode I."
"P. cactorum","Acer pseudoplatanus","Acer","Europe","Southwestern Europe","France","France"
"P. syringae","Acer pseudoplatanus","Acer","Europe","Northern Europe","Great Britain","Great Britain"
"P. cactorum","Acer pseudoplatanus","Acer","Europe","Middle Europe","Poland","Poland"
"P. plurivora","Acer pseudoplatanus","Acer","Europe","Middle Europe","Czechoslovakia","Czech Republic"
"P. pseudosyringae","Acer pseudoplatanus","Acer","Europe","Middle Europe","Czechoslovakia","Czech Republic"
"P. cactorum","Acer pseudoplatanus","Acer","Europe","Northern Europe","Great Britain","Great Britain"
"P. citricola","Acer pseudoplatanus","Acer","Europe","Northern Europe","Great Britain","Great Britain"
"P. cactorum","Acer pseudoplatanus","Acer","Europe","Southeastern Europe","Yugoslavia","Croatia"
"P. obscura","Acer pseudoplatanus","Acer","Europe","Middle Europe","Czechoslovakia","Slovakia"
"P. cactorum","Acer pseudoplatanus","Acer","Northern America",NA,NA,NA
