"plant_genus","Level.3","Level.2","Level.1","Introduced","phyto.record","key.phyto.record","phyto.record.UK","key.phyto.record.UK","phyto.record.Scotland","key.phyto.record.Scotland","In.GB"
"Alnus","Washington","Northwestern U.S.A.","Northern America","No","","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Pennsylvania","Northeastern U.S.A.","Northern America","No","","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Spain","Southwestern Europe","Europe","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Alnus","Lebanon-Syria","Western Asia","Asia-Temperate","No","","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Mexico Southwest","Mexico","Northern America","No","","","Yes","Yes","Yes","Yes","Yes"
"Alnus","China South-Central","China","Asia-Temperate","No","","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Primorye","Russian Far East","Asia-Temperate","No","","","Yes","Yes","Yes","Yes","Yes"
"Alnus","West Siberia","Siberia","Asia-Temperate","No","","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Vietnam","Indo-China","Asia-Tropical","No","Yes","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Central European Rus","Eastern Europe","Europe","No","","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Nepal","Indian Subcontinent","Asia-Tropical","No","","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Corse","Southwestern Europe","Europe","No","","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Peru","Western South America","Southern America","No","","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Hawaii","North-Central Pacific","Pacific","Yes","","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Argentina South","Southern South America","Southern America","Yes","","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Myanmar","Indo-China","Asia-Tropical","No","","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Massachusetts","Northeastern U.S.A.","Northern America","No","","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Poland","Middle Europe","Europe","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Alnus","Colombia","Western South America","Southern America","No","","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Nansei-Shoto","Eastern Asia","Asia-Temperate","No","","","Yes","Yes","Yes","Yes","Yes"
"Alnus","China North-Central","China","Asia-Temperate","No","","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Baltic States","Eastern Europe","Europe","No","Yes","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Irkutsk","Siberia","Asia-Temperate","No","","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Ukraine","Eastern Europe","Europe","No","Yes","","Yes","Yes","Yes","Yes","Yes"
