"plant_genus","Level.1","Introduced","phyto.record","key.phyto.record","phyto.record.UK","key.phyto.record.UK","phyto.record.Scotland","key.phyto.record.Scotland","In.GB"
"Cornus","Northern America","No","Yes","Yes","Yes","Yes","","","Yes"
"Cornus","Africa","No","","","Yes","Yes","","","Yes"
"Cornus","Asia-Temperate","No","","","Yes","Yes","","","Yes"
"Cornus","Europe","No","Yes","Yes","Yes","Yes","","","Yes"
"Cornus","Southern America","No","","","Yes","Yes","","","Yes"
"Cornus","Asia-Tropical","No","","","Yes","Yes","","","Yes"
"Cornus","Australasia","Yes","Yes","","Yes","Yes","","","Yes"
"Cornus","Pacific","Yes","","","Yes","Yes","","","Yes"
"Corylus","Northern America","No","Yes","Yes","Yes","Yes","Yes","","Yes"
"Corylus","Asia-Temperate","No","","","Yes","Yes","Yes","","Yes"
"Corylus","Africa","Yes","","","Yes","Yes","Yes","","Yes"
"Corylus","Europe","Both","Yes","Yes","Yes","Yes","Yes","","Yes"
"Corylus","Asia-Tropical","No","","","Yes","Yes","Yes","","Yes"
"Corymbia","Africa","Yes","Yes","Yes","","","","",""
"Corymbia","Asia-Temperate","Yes","Yes","","","","","",""
"Corymbia","Australasia","No","Yes","Yes","","","","",""
"Corymbia","Asia-Tropical","Both","","","","","","",""
"Corymbia","Southern America","Yes","Yes","","","","","",""
"Corymbia","Pacific","Yes","Yes","Yes","","","","",""
"Corymbia","Northern America","Yes","Yes","Yes","","","","",""
"Curtisia","Africa","Both","Yes","Yes","","","","",""
"Darwinia","Australasia","No","Yes","Yes","","","","",""
"Dionaea","Northern America","Both","Yes","Yes","","","","",""
"Dionaea","Southern America","Yes","","","","","","",""
"Disa","Africa","No","","","","","","",""
"Disa","Australasia","Yes","Yes","Yes","","","","",""
"Disa","Asia-Temperate","No","","","","","","",""
"Drosera","Northern America","No","","","","","","","Yes"
"Drosera","Southern America","No","","","","","","","Yes"
"Drosera","Asia-Tropical","No","","","","","","","Yes"
"Drosera","Europe","No","","","","","","","Yes"
"Drosera","Asia-Temperate","No","","","","","","","Yes"
"Drosera","Australasia","No","Yes","Yes","","","","","Yes"
"Drosera","Africa","No","","","","","","","Yes"
"Drosera","Pacific","No","","","","","","","Yes"
"Drosera","Antarctica","No","","","","","","","Yes"
"Eucalyptus","Africa","Yes","Yes","Yes","Yes","","Yes","","Yes"
"Eucalyptus","Europe","Yes","Yes","Yes","Yes","","Yes","","Yes"
"Eucalyptus","Asia-Temperate","Yes","","","Yes","","Yes","","Yes"
"Eucalyptus","Asia-Tropical","Both","Yes","","Yes","","Yes","","Yes"
"Eucalyptus","Pacific","Yes","Yes","Yes","Yes","","Yes","","Yes"
"Eucalyptus","Southern America","Yes","Yes","Yes","Yes","","Yes","","Yes"
"Eucalyptus","Australasia","Both","Yes","Yes","Yes","","Yes","","Yes"
