"plant_name","plant_name_full","Level.1","Introduced","phyto.record","key.phyto.record","phyto.record.UK","key.phyto.record.UK","phyto.record.Scotland","key.phyto.record.Scotland","plant.in.GB"
"Actinodium cunninghamii","Actinodium cunninghamii","Australasia","0","Yes","Yes","","","","",""
"Agathis australis","Agathis australis","Australasia","0","Yes","Yes","","","","",""
"Agonis flexuosa","Agonis flexuosa","Australasia","0","Yes","Yes","","","","",""
"Agonis theiformis","Agonis theiformis","Australasia","0","Yes","Yes","","","","",""
"Alnus alnobetula","Alnus alnobetula","Northern America","0","","","Yes","Yes","Yes","Yes",""
"Alnus alnobetula","Alnus alnobetula","Europe","0","Yes","Yes","Yes","Yes","Yes","Yes",""
"Alnus alnobetula","Alnus alnobetula","Asia-Temperate","0","","","Yes","Yes","Yes","Yes",""
"Alnus alnobetula","Alnus alnobetula","Australasia","1","","","Yes","Yes","Yes","Yes",""
"Alnus cordata","Alnus cordata","Europe","both","Yes","Yes","Yes","Yes","","",""
"Alnus cordata","Alnus cordata","Africa","1","","","Yes","Yes","","",""
"Alnus cordata","Alnus cordata","Australasia","1","Yes","","Yes","Yes","","",""
"Alnus firma","Alnus firma","Asia-Temperate","both","","","","","","",""
"Alnus glutinosa","Alnus glutinosa","Northern America","1","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Alnus glutinosa","Alnus glutinosa","Europe","0","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Alnus glutinosa","Alnus glutinosa","Australasia","1","Yes","","Yes","Yes","Yes","Yes","Yes"
"Alnus glutinosa","Alnus glutinosa","Asia-Temperate","0","Yes","","Yes","Yes","Yes","Yes","Yes"
"Alnus glutinosa","Alnus glutinosa","Southern America","1","","","Yes","Yes","Yes","Yes","Yes"
"Alnus glutinosa","Alnus glutinosa","Africa","both","","","Yes","Yes","Yes","Yes","Yes"
"Alnus incana","Alnus incana","Europe","both","Yes","Yes","Yes","Yes","","","Yes"
"Alnus incana","Alnus incana","Northern America","0","Yes","","Yes","Yes","","","Yes"
"Alnus incana","Alnus incana","Southern America","1","","","Yes","Yes","","","Yes"
"Alnus incana","Alnus incana","Asia-Temperate","0","","","Yes","Yes","","","Yes"
"Alnus incana","Alnus incana","Africa","1","","","Yes","Yes","","","Yes"
"Alnus rubra","Alnus rubra","Northern America","0","Yes","Yes","","","","",""
"Alnus rubra","Alnus rubra","Southern America","1","","","","","","",""
"Amperea ericoides","Amperea ericoides","Australasia","0","Yes","Yes","","","","",""
"Amperea xiphoclada","Amperea xiphoclada","Australasia","0","Yes","Yes","","","","",""
"Angophora costata","Angophora costata","Australasia","0","Yes","Yes","","","","",""
"Angophora hispida","Angophora hispida","Australasia","0","Yes","Yes","","","","",""
"Antidesma pulvinatum","Antidesma pulvinatum","Pacific","0","Yes","Yes","","","","",""
"Araucaria angustifolia","Araucaria angustifolia","Southern America","0","Yes","Yes","","","","",""
"Araucaria araucana","Araucaria araucana","Europe","1","Yes","Yes","Yes","","Yes","","Yes"
"Araucaria araucana","Araucaria araucana","Southern America","0","Yes","","Yes","","Yes","","Yes"
"Araucaria bidwillii","Araucaria bidwillii","Australasia","0","Yes","Yes","","","","",""
"Araucaria bidwillii","Araucaria bidwillii","Africa","1","","","","","","",""
"Araucaria columnaris","Araucaria columnaris","Africa","1","","","","","","",""
"Araucaria columnaris","Araucaria columnaris","Pacific","both","Yes","Yes","","","","",""
"Araucaria heterophylla","Araucaria heterophylla","Africa","1","","","","","","",""
"Araucaria heterophylla","Araucaria heterophylla","Asia-Tropical","1","","","","","","",""
"Araucaria heterophylla","Araucaria heterophylla","Australasia","both","Yes","Yes","","","","",""
"Archontophoenix cunninghamiana","Archontophoenix cunninghamiana","Australasia","both","Yes","Yes","","","","",""
"Archontophoenix cunninghamiana","Archontophoenix cunninghamiana","Southern America","1","","","","","","",""
"Aucuba japonica","Aucuba japonica","Asia-Temperate","both","Yes","","Yes","Yes","","",""
"Aucuba japonica","Aucuba japonica","Europe","1","Yes","Yes","Yes","Yes","","",""
"Aucuba japonica","Aucuba japonica","Northern America","1","Yes","Yes","Yes","Yes","","",""
"Backhousia citriodora","Backhousia citriodora","Australasia","0","Yes","Yes","","","","",""
"Betula papyrifera","Betula papyrifera","Northern America","0","Yes","Yes","Yes","Yes","","",""
"Betula pendula","Betula pendula","Europe","0","Yes","Yes","Yes","Yes","","","Yes"
"Betula pendula","Betula pendula","Asia-Temperate","0","","","Yes","Yes","","","Yes"
"Betula pendula","Betula pendula","Northern America","both","","","Yes","Yes","","","Yes"
"Betula pendula","Betula pendula","Australasia","1","Yes","Yes","Yes","Yes","","","Yes"
"Betula pendula","Betula pendula","Southern America","both","","","Yes","Yes","","","Yes"
"Betula pendula","Betula pendula","Africa","0","","","Yes","Yes","","","Yes"
"Betula pubescens","Betula pubescens","Europe","both","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Betula pubescens","Betula pubescens","Asia-Temperate","0","","","Yes","Yes","Yes","Yes","Yes"
"Betula pubescens","Betula pubescens","Northern America","both","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Betula tianschanica","Betula tianschanica","Asia-Temperate","0","","","","","","",""
"Betula utilis","Betula utilis","Asia-Temperate","0","","","","","","",""
"Betula utilis","Betula utilis","Asia-Tropical","0","","","","","","",""
"Caladenia formosa","Caladenia formosa","Australasia","0","Yes","Yes","","","","",""
"Caleana nigrita","Caleana nigrita","Australasia","0","Yes","Yes","","","","",""
"Calytrix alpestris","Calytrix alpestris","Australasia","0","Yes","Yes","","","","",""
"Calytrix flavescens","Calytrix flavescens","Australasia","0","Yes","Yes","","","","",""
"Calytrix tetragona","Calytrix tetragona","Australasia","0","Yes","Yes","","","","",""
"Carpinus betulus","Carpinus betulus","Europe","both","Yes","Yes","Yes","Yes","","","Yes"
"Carpinus betulus","Carpinus betulus","Asia-Temperate","0","","","Yes","Yes","","","Yes"
"Carpinus betulus","Carpinus betulus","Northern America","1","","","Yes","Yes","","","Yes"
"Castanea crenata","Castanea crenata","Northern America","1","Yes","Yes","Yes","Yes","","",""
"Castanea crenata","Castanea crenata","Europe","1","Yes","Yes","Yes","Yes","","",""
"Castanea crenata","Castanea crenata","Asia-Temperate","0","Yes","","Yes","Yes","","",""
"Castanea dentata","Castanea dentata","Northern America","0","Yes","Yes","Yes","","","",""
"Castanea mollissima","Castanea mollissima","Northern America","1","Yes","Yes","","","","",""
"Castanea mollissima","Castanea mollissima","Asia-Tropical","0","","","","","","",""
"Castanea mollissima","Castanea mollissima","Asia-Temperate","both","Yes","Yes","","","","",""
"Castanea mollissima","Castanea mollissima","Southern America","1","","","","","","",""
"Castanea ozarkensis","Castanea ozarkensis","Northern America","0","Yes","Yes","","","","",""
"Castanea pumila","Castanea pumila","Northern America","0","Yes","Yes","","","","",""
"Castanea sativa","Castanea sativa","Europe","both","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Castanea sativa","Castanea sativa","Northern America","1","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Castanea sativa","Castanea sativa","Asia-Temperate","0","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Castanea sativa","Castanea sativa","Africa","1","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Castanea sativa","Castanea sativa","Southern America","1","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Castanopsis carlesii","Castanopsis carlesii","Asia-Temperate","0","Yes","Yes","","","","",""
"Castanopsis carlesii","Castanopsis carlesii","Asia-Tropical","0","","","","","","",""
"Castanopsis chinensis","Castanopsis chinensis","Asia-Tropical","0","Yes","Yes","","","","",""
"Castanopsis chinensis","Castanopsis chinensis","Asia-Temperate","0","","","","","","",""
"Castanopsis faberi","Castanopsis faberi","Asia-Temperate","0","Yes","Yes","","","","",""
"Castanopsis faberi","Castanopsis faberi","Asia-Tropical","0","","","","","","",""
"Castanopsis indica","Castanopsis indica","Asia-Tropical","0","","","","","","",""
"Castanopsis indica","Castanopsis indica","Asia-Temperate","0","Yes","Yes","","","","",""
"Castanopsis kawakamii","Castanopsis kawakamii","Asia-Tropical","0","","","","","","",""
"Castanopsis kawakamii","Castanopsis kawakamii","Asia-Temperate","0","Yes","Yes","","","","",""
"Castanopsis sieboldii","Castanopsis sieboldii","Asia-Temperate","0","Yes","Yes","","","","",""
"Castanopsis tribuloides","Castanopsis tribuloides","Asia-Tropical","0","","","Yes","Yes","","",""
"Castanopsis tribuloides","Castanopsis tribuloides","Asia-Temperate","0","","","Yes","Yes","","",""
"Chamelaucium axillare","Chamelaucium axillare","Australasia","0","Yes","Yes","","","","",""
"Chamelaucium ciliatum","Chamelaucium ciliatum","Australasia","0","Yes","Yes","","","","",""
"Chamelaucium uncinatum","Chamelaucium uncinatum","Australasia","both","Yes","Yes","","","","",""
"Chamelaucium uncinatum","Chamelaucium uncinatum","Northern America","1","","","","","","",""
"Cheirodendron trigynum","Cheirodendron trigynum","Pacific","0","Yes","Yes","","","","",""
"Chrysolepis chrysophylla","Chrysolepis chrysophylla","Northern America","0","Yes","Yes","","","","",""
"Cinchona calisaya","Cinchona calisaya","Africa","both","","","","","","",""
"Cinchona calisaya","Cinchona calisaya","Pacific","1","","","","","","",""
"Cinchona calisaya","Cinchona calisaya","Southern America","both","","","","","","",""
"Cinchona officinalis","Cinchona officinalis","Africa","1","","","","","","",""
"Cinchona officinalis","Cinchona officinalis","Southern America","both","Yes","Yes","","","","",""
"Cinchona pubescens","Cinchona pubescens","Africa","1","","","","","","",""
"Cinchona pubescens","Cinchona pubescens","Southern America","both","Yes","Yes","","","","",""
"Cinchona pubescens","Cinchona pubescens","Pacific","1","","","","","","",""
"Cinchona pubescens","Cinchona pubescens","Asia-Tropical","1","Yes","Yes","","","","",""
"Cinchona pubescens","Cinchona pubescens","Northern America","1","","","","","","",""
"Colocasia esculenta","Colocasia esculenta","Asia-Tropical","both","Yes","","","","","",""
"Colocasia esculenta","Colocasia esculenta","Europe","1","","","","","","",""
"Colocasia esculenta","Colocasia esculenta","Pacific","1","Yes","Yes","","","","",""
"Colocasia esculenta","Colocasia esculenta","Africa","1","Yes","","","","","",""
"Colocasia esculenta","Colocasia esculenta","Asia-Temperate","both","Yes","","","","","",""
"Colocasia esculenta","Colocasia esculenta","Southern America","1","Yes","","","","","",""
"Colocasia esculenta","Colocasia esculenta","Australasia","1","","","","","","",""
"Colocasia esculenta","Colocasia esculenta","Northern America","1","","","","","","",""
"Coprosma ernodeoides","Coprosma ernodeoides","Pacific","0","Yes","Yes","","","","",""
"Coprosma lucida","Coprosma lucida","Australasia","0","Yes","Yes","","","","",""
"Coprosma menziesii","Coprosma menziesii","Pacific","0","Yes","Yes","","","","",""
"Coprosma robusta","Coprosma robusta","Australasia","both","Yes","Yes","","","","",""
"Coriaria ruscifolia","Coriaria ruscifolia","Southern America","0","","","","","","",""
"Coriaria ruscifolia","Coriaria ruscifolia","Pacific","0","","","","","","",""
"Coriaria ruscifolia","Coriaria ruscifolia","Northern America","0","","","","","","",""
"Coriaria ruscifolia","Coriaria ruscifolia","Asia-Tropical","0","","","","","","",""
"Coriaria sarmentosa","Coriaria sarmentosa","Australasia","0","Yes","Yes","","","","",""
"Cornus capitata","Cornus capitata","Australasia","1","","","Yes","Yes","","",""
"Cornus capitata","Cornus capitata","Asia-Tropical","0","","","Yes","Yes","","",""
"Cornus capitata","Cornus capitata","Asia-Temperate","0","","","Yes","Yes","","",""
"Cornus florida","Cornus florida","Northern America","0","Yes","Yes","Yes","","","",""
"Cornus kousa","Cornus kousa","Asia-Tropical","0","","","Yes","Yes","","",""
"Cornus kousa","Cornus kousa","Asia-Temperate","0","","","Yes","Yes","","",""
"Cornus kousa","Cornus kousa","Northern America","1","","","Yes","Yes","","",""
"Cornus kousa","Cornus kousa","Pacific","1","","","Yes","Yes","","",""
"Cornus mas","Cornus mas","Europe","both","Yes","Yes","Yes","Yes","","","Yes"
"Cornus mas","Cornus mas","Asia-Temperate","0","","","Yes","Yes","","","Yes"
"Cornus mas","Cornus mas","Northern America","1","","","Yes","Yes","","","Yes"
"Cornus nuttallii","Cornus nuttallii","Northern America","0","Yes","Yes","","","","",""
"Cornus sanguinea","Cornus sanguinea","Europe","0","Yes","Yes","Yes","Yes","","","Yes"
"Cornus sanguinea","Cornus sanguinea","Asia-Temperate","0","","","Yes","Yes","","","Yes"
"Cornus sanguinea","Cornus sanguinea","Northern America","1","","","Yes","Yes","","","Yes"
"Corylus avellana","Corylus avellana","Europe","both","Yes","Yes","Yes","Yes","","","Yes"
"Corylus avellana","Corylus avellana","Northern America","1","","","Yes","Yes","","","Yes"
"Corylus avellana","Corylus avellana","Asia-Temperate","0","","","Yes","Yes","","","Yes"
"Corylus avellana","Corylus avellana","Africa","1","","","Yes","Yes","","","Yes"
"Corylus cornuta","Corylus cornuta","Northern America","0","Yes","Yes","","","","",""
"Corymbia calophylla","Corymbia calophylla","Africa","1","","","","","","",""
"Corymbia calophylla","Corymbia calophylla","Pacific","1","Yes","Yes","","","","",""
"Corymbia calophylla","Corymbia calophylla","Australasia","0","Yes","Yes","","","","",""
"Corymbia citriodora","Corymbia citriodora","Asia-Tropical","1","","","","","","",""
"Corymbia citriodora","Corymbia citriodora","Australasia","0","Yes","","","","","",""
"Corymbia citriodora","Corymbia citriodora","Pacific","1","Yes","Yes","","","","",""
"Corymbia citriodora","Corymbia citriodora","Africa","1","Yes","Yes","","","","",""
"Corymbia citriodora","Corymbia citriodora","Asia-Temperate","1","","","","","","",""
"Corymbia citriodora","Corymbia citriodora","Southern America","1","Yes","","","","","",""
"Corymbia citriodora","Corymbia citriodora","Northern America","1","Yes","Yes","","","","",""
"Corymbia ficifolia","Corymbia ficifolia","Africa","1","","","","","","",""
"Corymbia ficifolia","Corymbia ficifolia","Australasia","0","Yes","Yes","","","","",""
"Corymbia ficifolia","Corymbia ficifolia","Southern America","1","","","","","","",""
"Corymbia ficifolia","Corymbia ficifolia","Pacific","1","","","","","","",""
"Corymbia gummifera","Corymbia gummifera","Africa","1","","","","","","",""
"Corymbia gummifera","Corymbia gummifera","Australasia","0","Yes","Yes","","","","",""
"Corymbia gummifera","Corymbia gummifera","Pacific","1","","","","","","",""
"Corymbia gummifera","Corymbia gummifera","Asia-Tropical","1","","","","","","",""
"Curtisia dentata","Curtisia dentata","Africa","both","Yes","Yes","","","","",""
"Darwinia oxylepis","Darwinia oxylepis","Australasia","0","Yes","Yes","","","","",""
"Darwinia pinifolia","Darwinia pinifolia","Australasia","0","Yes","Yes","","","","",""
"Dionaea muscipula","Dionaea muscipula","Northern America","both","Yes","Yes","","","","",""
"Dionaea muscipula","Dionaea muscipula","Southern America","1","","","","","","",""
"Drosera erythrorhiza","Drosera erythrorhiza","Australasia","0","Yes","Yes","","","","",""
"Eucalyptus amygdalina","Eucalyptus amygdalina","Pacific","1","","","","","","",""
"Eucalyptus amygdalina","Eucalyptus amygdalina","Australasia","0","Yes","Yes","","","","",""
"Eucalyptus baxteri","Eucalyptus baxteri","Australasia","0","Yes","Yes","","","","",""
"Eucalyptus bicostata","Eucalyptus bicostata","Australasia","0","Yes","Yes","","","","",""
"Eucalyptus bicostata","Eucalyptus bicostata","Africa","1","","","","","","",""
"Eucalyptus delegatensis","Eucalyptus delegatensis","Australasia","both","Yes","Yes","","","","",""
"Eucalyptus dunnii","Eucalyptus dunnii","Australasia","0","Yes","","","","","",""
"Eucalyptus fastigata","Eucalyptus fastigata","Australasia","0","Yes","Yes","","","","",""
"Eucalyptus fastigata","Eucalyptus fastigata","Africa","1","Yes","Yes","","","","",""
"Eucalyptus fraxinoides","Eucalyptus fraxinoides","Australasia","0","Yes","Yes","","","","",""
"Eucalyptus globulus","Eucalyptus globulus","Southern America","1","","","","","","","Yes"
"Eucalyptus globulus","Eucalyptus globulus","Europe","1","Yes","Yes","","","","","Yes"
"Eucalyptus globulus","Eucalyptus globulus","Africa","1","","","","","","","Yes"
"Eucalyptus globulus","Eucalyptus globulus","Pacific","1","","","","","","","Yes"
"Eucalyptus globulus","Eucalyptus globulus","Australasia","both","Yes","Yes","","","","","Yes"
"Eucalyptus globulus","Eucalyptus globulus","Asia-Temperate","1","","","","","","","Yes"
"Eucalyptus globulus","Eucalyptus globulus","Asia-Tropical","1","","","","","","","Yes"
"Eucalyptus globulus","Eucalyptus globulus","Northern America","1","Yes","","","","","","Yes"
"Eucalyptus gomphocephala","Eucalyptus gomphocephala","Africa","1","","","","","","",""
"Eucalyptus gomphocephala","Eucalyptus gomphocephala","Europe","1","","","","","","",""
"Eucalyptus gomphocephala","Eucalyptus gomphocephala","Australasia","0","Yes","Yes","","","","",""
"Eucalyptus gomphocephala","Eucalyptus gomphocephala","Pacific","1","","","","","","",""
"Eucalyptus grandis","Eucalyptus grandis","Asia-Temperate","1","","","","","","",""
"Eucalyptus grandis","Eucalyptus grandis","Southern America","1","","","","","","",""
"Eucalyptus grandis","Eucalyptus grandis","Africa","1","Yes","","","","","",""
"Eucalyptus grandis","Eucalyptus grandis","Northern America","1","","","","","","",""
"Eucalyptus grandis","Eucalyptus grandis","Australasia","0","Yes","Yes","","","","",""
"Eucalyptus grandis","Eucalyptus grandis","Asia-Tropical","1","","","","","","",""
"Eucalyptus lehmannii","Eucalyptus lehmannii","Australasia","0","Yes","Yes","","","","",""
"Eucalyptus lehmannii","Eucalyptus lehmannii","Africa","1","Yes","Yes","","","","",""
"Eucalyptus leucoxylon","Eucalyptus leucoxylon","Australasia","both","Yes","Yes","","","","",""
"Eucalyptus leucoxylon","Eucalyptus leucoxylon","Africa","1","","","","","","",""
"Eucalyptus macarthurii","Eucalyptus macarthurii","Africa","1","Yes","Yes","","","","",""
"Eucalyptus macarthurii","Eucalyptus macarthurii","Australasia","0","","","","","","",""
"Eucalyptus macrandra","Eucalyptus macrandra","Australasia","0","Yes","Yes","","","","",""
"Eucalyptus macrocarpa","Eucalyptus macrocarpa","Australasia","0","Yes","Yes","","","","",""
"Eucalyptus macrorhyncha","Eucalyptus macrorhyncha","Australasia","0","Yes","Yes","","","","",""
"Eucalyptus marginata","Eucalyptus marginata","Australasia","0","Yes","Yes","","","","",""
"Eucalyptus marginata","Eucalyptus marginata","Pacific","1","Yes","Yes","","","","",""
"Eucalyptus megacarpa","Eucalyptus megacarpa","Australasia","0","Yes","Yes","","","","",""
"Eucalyptus morrisbyi","Eucalyptus morrisbyi","Australasia","0","Yes","Yes","","","","",""
"Eucalyptus nitens","Eucalyptus nitens","Australasia","both","Yes","Yes","","","","",""
"Eucalyptus nitida","Eucalyptus nitida","Australasia","0","Yes","Yes","","","","",""
"Eucalyptus obliqua","Eucalyptus obliqua","Australasia","both","Yes","Yes","","","","",""
"Eucalyptus obliqua","Eucalyptus obliqua","Asia-Tropical","0","","","","","","",""
"Eucalyptus obliqua","Eucalyptus obliqua","Africa","1","","","","","","",""
"Eucalyptus oblonga","Eucalyptus oblonga","Australasia","0","Yes","Yes","","","","",""
"Eucalyptus occidentalis","Eucalyptus occidentalis","Australasia","0","Yes","Yes","","","","",""
"Eucalyptus occidentalis","Eucalyptus occidentalis","Asia-Tropical","1","","","","","","",""
"Eucalyptus pilularis","Eucalyptus pilularis","Australasia","both","Yes","Yes","","","","",""
"Eucalyptus pilularis","Eucalyptus pilularis","Africa","1","","","","","","",""
"Eucalyptus pilularis","Eucalyptus pilularis","Pacific","1","Yes","Yes","","","","",""
"Eucalyptus piperita","Eucalyptus piperita","Australasia","0","Yes","Yes","","","","",""
"Eucalyptus pyriformis","Eucalyptus pyriformis","Australasia","0","Yes","Yes","","","","",""
"Eucalyptus radiata","Eucalyptus radiata","Australasia","0","Yes","","","","","",""
"Eucalyptus regnans","Eucalyptus regnans","Africa","1","","","","","","",""
"Eucalyptus regnans","Eucalyptus regnans","Australasia","both","Yes","Yes","","","","",""
"Eucalyptus robusta","Eucalyptus robusta","Southern America","1","","","","","","",""
"Eucalyptus robusta","Eucalyptus robusta","Africa","1","","","","","","",""
"Eucalyptus robusta","Eucalyptus robusta","Asia-Tropical","1","","","","","","",""
"Eucalyptus robusta","Eucalyptus robusta","Asia-Temperate","1","","","","","","",""
"Eucalyptus robusta","Eucalyptus robusta","Northern America","1","Yes","Yes","","","","",""
"Eucalyptus robusta","Eucalyptus robusta","Europe","1","","","","","","",""
"Eucalyptus robusta","Eucalyptus robusta","Pacific","1","Yes","Yes","","","","",""
"Eucalyptus robusta","Eucalyptus robusta","Australasia","0","Yes","","","","","",""
"Eucalyptus rossii","Eucalyptus rossii","Australasia","0","Yes","Yes","","","","",""
"Eucalyptus rubida","Eucalyptus rubida","Australasia","0","Yes","Yes","","","","",""
"Eucalyptus rudis","Eucalyptus rudis","Europe","1","","","","","","",""
"Eucalyptus rudis","Eucalyptus rudis","Pacific","1","","","","","","",""
"Eucalyptus rudis","Eucalyptus rudis","Africa","1","","","","","","",""
"Eucalyptus rudis","Eucalyptus rudis","Southern America","1","","","","","","",""
"Eucalyptus rudis","Eucalyptus rudis","Asia-Temperate","1","","","","","","",""
"Eucalyptus rudis","Eucalyptus rudis","Australasia","0","Yes","Yes","","","","",""
"Eucalyptus saligna","Eucalyptus saligna","Asia-Tropical","1","","","","","","",""
"Eucalyptus saligna","Eucalyptus saligna","Pacific","1","Yes","Yes","","","","",""
"Eucalyptus saligna","Eucalyptus saligna","Asia-Temperate","1","","","","","","",""
"Eucalyptus saligna","Eucalyptus saligna","Southern America","1","","","","","","",""
"Eucalyptus saligna","Eucalyptus saligna","Africa","1","","","","","","",""
"Eucalyptus saligna","Eucalyptus saligna","Australasia","both","Yes","Yes","","","","",""
"Eucalyptus scoparia","Eucalyptus scoparia","Australasia","0","Yes","Yes","","","","",""
"Eucalyptus sieberi","Eucalyptus sieberi","Australasia","0","Yes","Yes","","","","",""
"Eucalyptus smithii","Eucalyptus smithii","Australasia","0","","","","","","",""
"Eucalyptus tetrodonta","Eucalyptus tetrodonta","Australasia","0","Yes","Yes","","","","",""
"Eucalyptus viminalis","Eucalyptus viminalis","Australasia","both","Yes","Yes","","","","",""
"Eucalyptus viminalis","Eucalyptus viminalis","Northern America","1","","","","","","",""
"Eucalyptus viminalis","Eucalyptus viminalis","Europe","1","","","","","","",""
"Eucalyptus viminalis","Eucalyptus viminalis","Southern America","1","Yes","","","","","",""
"Eucalyptus viminalis","Eucalyptus viminalis","Pacific","1","","","","","","",""
"Eucalyptus viminalis","Eucalyptus viminalis","Asia-Temperate","1","","","","","","",""
"Eucalyptus viminalis","Eucalyptus viminalis","Africa","1","","","","","","",""
"Euphorbia × martini","Euphorbia × martini","Europe","0","Yes","Yes","Yes","Yes","","",""
"Fagus grandifolia","Fagus grandifolia","Northern America","0","Yes","Yes","","","","",""
"Fagus hayatae","Fagus hayatae","Asia-Temperate","0","Yes","Yes","","","","",""
"Fagus sylvatica","Fagus sylvatica","Europe","0","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Fagus sylvatica","Fagus sylvatica","Asia-Temperate","0","Yes","","Yes","Yes","Yes","Yes","Yes"
"Fagus sylvatica","Fagus sylvatica","Northern America","1","Yes","","Yes","Yes","Yes","Yes","Yes"
"Fatsia japonica","Fatsia japonica","Asia-Temperate","both","","","Yes","","","","Yes"
"Fatsia japonica","Fatsia japonica","Australasia","1","Yes","Yes","Yes","","","","Yes"
"Fatsia japonica","Fatsia japonica","Europe","1","Yes","","Yes","","","","Yes"
"Fatsia japonica","Fatsia japonica","Southern America","1","Yes","","Yes","","","","Yes"
"Feijoa sellowiana","Feijoa sellowiana","Africa","1","","","","","","",""
"Feijoa sellowiana","Feijoa sellowiana","Australasia","1","Yes","Yes","","","","",""
"Feijoa sellowiana","Feijoa sellowiana","Southern America","both","","","","","","",""
"Glochidion rubrum","Glochidion rubrum","Asia-Temperate","0","Yes","Yes","","","","",""
"Glochidion rubrum","Glochidion rubrum","Asia-Tropical","0","","","","","","",""
"Griselinia littoralis","Griselinia littoralis","Australasia","both","Yes","","Yes","Yes","","","Yes"
"Griselinia littoralis","Griselinia littoralis","Europe","1","Yes","Yes","Yes","Yes","","","Yes"
"Griselinia lucida","Griselinia lucida","Australasia","0","Yes","Yes","","","","",""
"Hedera helix","Hedera helix","Europe","0","Yes","Yes","Yes","","Yes","","Yes"
"Hedera helix","Hedera helix","Northern America","1","Yes","","Yes","","Yes","","Yes"
"Hedera helix","Hedera helix","Africa","1","","","Yes","","Yes","","Yes"
"Hedera helix","Hedera helix","Asia-Temperate","0","Yes","","Yes","","Yes","","Yes"
"Hedera helix","Hedera helix","Southern America","1","Yes","","Yes","","Yes","","Yes"
"Hedera helix","Hedera helix","Australasia","1","Yes","","Yes","","Yes","","Yes"
"Hedera helix","Hedera helix","Pacific","1","Yes","","Yes","","Yes","","Yes"
"Hypocalymma angustifolium","Hypocalymma angustifolium","Australasia","0","Yes","Yes","","","","",""
"Hypocalymma cordifolium","Hypocalymma cordifolium","Australasia","0","Yes","Yes","","","","",""
"Hypocalymma robustum","Hypocalymma robustum","Australasia","0","Yes","Yes","","","","",""
"Kadua affinis","Kadua affinis","Pacific","0","Yes","Yes","","","","",""
"Kunzea baxteri","Kunzea baxteri","Australasia","both","Yes","Yes","","","","",""
"Kunzea ericifolia","Kunzea ericifolia","Australasia","0","Yes","Yes","","","","",""
"Kunzea muelleri","Kunzea muelleri","Australasia","0","Yes","Yes","","","","",""
"Kunzea pauciflora","Kunzea pauciflora","Australasia","0","Yes","Yes","","","","",""
"Kunzea pomifera","Kunzea pomifera","Australasia","0","Yes","Yes","","","","",""
"Kunzea recurva","Kunzea recurva","Australasia","0","Yes","Yes","","","","",""
"Lavandula angustifolia","Lavandula angustifolia","Pacific","1","","","Yes","Yes","Yes","",""
"Lavandula angustifolia","Lavandula angustifolia","Europe","both","Yes","Yes","Yes","Yes","Yes","",""
"Lavandula angustifolia","Lavandula angustifolia","Asia-Temperate","1","Yes","","Yes","Yes","Yes","",""
"Lavandula angustifolia","Lavandula angustifolia","Africa","1","","","Yes","Yes","Yes","",""
"Lavandula angustifolia","Lavandula angustifolia","Northern America","1","Yes","","Yes","Yes","Yes","",""
"Lavandula angustifolia","Lavandula angustifolia","Asia-Tropical","1","","","Yes","Yes","Yes","",""
"Lavandula angustifolia","Lavandula angustifolia","Southern America","1","","","Yes","Yes","Yes","",""
"Lavandula dentata","Lavandula dentata","Africa","both","","","Yes","Yes","","",""
"Lavandula dentata","Lavandula dentata","Asia-Temperate","0","Yes","","Yes","Yes","","",""
"Lavandula dentata","Lavandula dentata","Australasia","1","","","Yes","Yes","","",""
"Lavandula dentata","Lavandula dentata","Europe","both","Yes","Yes","Yes","Yes","","",""
"Lavandula latifolia","Lavandula latifolia","Europe","both","Yes","Yes","Yes","Yes","","",""
"Leptospermum glaucescens","Leptospermum glaucescens","Australasia","0","Yes","Yes","","","","",""
"Leptospermum juniperinum","Leptospermum juniperinum","Australasia","0","Yes","Yes","","","","",""
"Leptospermum scoparium","Leptospermum scoparium","Australasia","0","Yes","Yes","","","","","Yes"
"Leptospermum scoparium","Leptospermum scoparium","Africa","1","","","","","","","Yes"
"Leptospermum scoparium","Leptospermum scoparium","Europe","1","","","","","","","Yes"
"Leptospermum scoparium","Leptospermum scoparium","Pacific","1","","","","","","","Yes"
"Liriodendron tulipifera","Liriodendron tulipifera","Northern America","0","Yes","Yes","","","","",""
"Liriodendron tulipifera","Liriodendron tulipifera","Pacific","1","","","","","","",""
"Lithocarpus shinsuiensis","Lithocarpus shinsuiensis","Asia-Temperate","0","Yes","Yes","","","","",""
"Lithocarpus uraianus","Lithocarpus uraianus","Asia-Temperate","0","Yes","Yes","","","","",""
"Lophomyrtus obcordata","Lophomyrtus obcordata","Australasia","0","Yes","Yes","","","","",""
"Lophostemon confertus","Lophostemon confertus","Australasia","0","Yes","Yes","","","","",""
