"Genus","Phytophthora","Eng_wEnv","Eng_trade","Eng_total","UK_total"
"Pseudotsuga","P. citricola",0,0,0,3
"Pseudotsuga","P. cryptogea",0,1,1,4
"Pseudotsuga","P. foliorum",0,1,1,3
"Pseudotsuga","P. gonapodyides",0,0,0,2
"Pseudotsuga","P. kelmanii",0,0,0,2
"Pseudotsuga","P. lacustris",0,0,0,1
"Pseudotsuga","P. marrasii",0,0,0,1
"Pseudotsuga","P. megasperma",0,1,1,2
"Pseudotsuga","P. nicotianae",0,0,0,1
"Pseudotsuga","P. obscura",0,1,1,3
"Pseudotsuga","P. plurivora",0,1,1,6
"Pseudotsuga","P. pluvialis",0,0,0,3
"Pseudotsuga","P. pseudocryptogea",0,1,1,4
"Pseudotsuga","P. pseudotsugae",0,1,1,5
"Pseudotsuga","P. syringae",0,0,0,1
"Pseudotsuga","P. uliginosa",0,0,0,2
"Quercus","P. × cambivora",0,3,5,7
"Quercus","P. cactorum",0,0,0,1
"Quercus","P. castanetorum",0,3,3,9
"Quercus","P. cinnamomi",1,1,4,5
"Quercus","P. citrophthora",0,1,1,1
"Quercus","P. cryptogea",2,0,2,2
"Quercus","P. foliorum",0,0,0,1
"Quercus","P. gonapodyides",1,0,1,6
"Quercus","P. inundata",0,0,0,5
"Quercus","P. kernoviae",4,0,4,4
"Quercus","P. nicotianae",0,0,0,1
"Quercus","P. obscura",0,0,0,1
"Quercus","P. palmivora",0,0,1,1
"Quercus","P. plurivora",1,0,1,7
"Quercus","P. pseudosyringae",0,0,0,6
"Quercus","P. psychrophila",0,1,1,2
"Quercus","P. quercina",1,0,1,4
"Quercus","P. ramorum",37,20,60,80
"Quercus","P. syringae",0,0,0,1
"Rhododendron","P. × cambivora",1,2,3,7
"Rhododendron","P. cactorum",24,3,30,42
"Rhododendron","P. chlamydospora",2,0,2,2
"Rhododendron","P. cinnamomi",14,3,17,26
"Rhododendron","P. citricola",17,8,27,33
"Rhododendron","P. citrophthora",3,1,6,9
"Rhododendron","P. cryptogea",7,1,8,12
"Rhododendron","P. foliorum",0,0,0,7
"Rhododendron","P. gonapodyides",0,0,0,2
"Rhododendron","P. hedraiandra",0,0,0,1
"Rhododendron","P. hibernalis",10,8,19,20
"Rhododendron","P. ilicis",0,0,0,1
"Rhododendron","P. kernoviae",414,26,442,555
"Rhododendron","P. lateralis",0,0,0,1
"Rhododendron","P. megasperma",1,0,1,1
"Rhododendron","P. multivora",1,1,2,2
"Rhododendron","P. nicotianae",0,1,1,1
"Rhododendron","P. pachypleura",0,0,0,2
"Rhododendron","P. plurivora",22,2,24,39
"Rhododendron","P. primulae",1,0,1,1
"Rhododendron","P. pseudocryptogea",0,0,0,1
"Rhododendron","P. pseudosyringae",0,1,1,2
"Rhododendron","P. ramorum",2866,909,3864,4710
"Rhododendron","P. rubi",0,0,0,1
"Rhododendron","P. syringae",30,19,52,67
"Rhododendron","P. uniformis",0,0,0,3
"Tsuga","P. × cambivora",0,0,0,1
"Tsuga","P. cinnamomi",0,0,0,2
"Tsuga","P. cryptogea",0,0,0,1
"Tsuga","P. pluvialis",0,0,0,30
"Tsuga","P. pseudocryptogea",0,0,0,1
"Tsuga","P. ramorum",0,0,0,10
"Tsuga","P. uniformis",0,0,0,1
"Vaccinium","P. cactorum",1,0,2,2
"Vaccinium","P. chlamydospora",0,0,0,1
"Vaccinium","P. cinnamomi",1,4,5,6
"Vaccinium","P. citricola",0,0,0,1
"Vaccinium","P. citrophthora",0,1,1,1
"Vaccinium","P. cryptogea",0,1,1,1
"Vaccinium","P. gonapodyides",0,4,4,4
"Vaccinium","P. kernoviae",109,0,112,116
"Vaccinium","P. nicotianae",0,1,1,1
"Vaccinium","P. plurivora",0,4,4,7
"Vaccinium","P. pseudocryptogea",0,1,1,1
"Vaccinium","P. pseudosyringae",29,1,30,55
"Vaccinium","P. psychrophila",0,3,3,3
"Vaccinium","P. ramorum",100,6,106,125
"Vaccinium","P. rubi",0,1,1,1
"Vaccinium","P. sojae",0,1,1,1
"Vaccinium","P. syringae",0,1,1,1
