"Phytophthora","Host","Total","Trade","widerEnvironment","Unknown","PxH in Scotland?"
"P. cinnamomi","Vaccinium myrtillus",1,1,1,NA,NA
"P. cinnamomi","Veronica albicans",1,1,NA,NA,NA
"P. cinnamomi","Viburnum plicatum",2,NA,2,NA,NA
"P. cinnamomi","Viburnum tinus",2,NA,2,NA,NA
"P. cinnamomi","Viburnum × burkwoodii",1,1,NA,NA,NA
"P. cinnamomi","Wisteria sinensis",3,NA,1,2,NA
"P. cinnamomi","× hesperotropsis leylandii",1,1,NA,NA,NA
"P. kernoviae","Aesculus hippocastanum",1,NA,1,NA,NA
"P. kernoviae","Castanea sativa",1,NA,1,NA,NA
"P. kernoviae","Drimys winteri",14,2,10,4,NA
"P. kernoviae","Fagus sylvatica",11,NA,1,10,"Yes"
"P. kernoviae","Leucothoe fontanesiana",1,1,NA,NA,NA
"P. kernoviae","Magnolia delavayi",1,NA,1,NA,NA
"P. kernoviae","Magnolia doltsopa",3,1,NA,2,NA
"P. kernoviae","Magnolia sargentiana",1,NA,1,NA,NA
"P. kernoviae","Magnolia sprengeri",1,NA,1,NA,NA
"P. kernoviae","Magnolia stellata",1,1,NA,NA,NA
"P. kernoviae","Magnolia × brooklynensis",1,1,NA,NA,NA
"P. kernoviae","Pieris formosa",9,1,7,2,NA
"P. kernoviae","Pieris japonica",11,1,8,2,NA
"P. kernoviae","Quercus robur",4,NA,4,NA,NA
"P. kernoviae","Rhododendron augustinii",1,NA,1,NA,NA
"P. kernoviae","Rhododendron falconeri",1,NA,1,NA,NA
"P. kernoviae","Rhododendron luteum",2,NA,2,NA,NA
"P. kernoviae","Rhododendron ponticum",197,1,183,14,NA
"P. kernoviae","Rhododendron williamsianum",1,NA,1,NA,NA
"P. kernoviae","Sequoiadendron giganteum",1,NA,1,NA,NA
"P. kernoviae","Vaccinium angustifolium",1,NA,1,NA,NA
"P. kernoviae","Vaccinium myrtilloides",3,NA,3,NA,NA
"P. kernoviae","Vaccinium myrtillus",77,NA,70,7,NA
"P. pluvialis","Pseudotsuga menziesii",3,NA,3,NA,"Yes"
"P. pluvialis","Tsuga heterophylla",30,NA,29,1,"Yes"
"P. pseudosyringae","Betula papyrifera",1,1,NA,NA,NA
"P. pseudosyringae","Betula pubescens",1,1,NA,NA,"Yes"
"P. pseudosyringae","Fagus sylvatica",14,NA,6,8,"Yes"
"P. pseudosyringae","Magnolia salicifolia",2,NA,2,NA,"Yes"
"P. pseudosyringae","Nothofagus alpina",7,NA,1,6,NA
"P. pseudosyringae","Nothofagus obliqua",14,NA,NA,14,NA
"P. pseudosyringae","Pieris floribunda",1,NA,1,NA,"Yes"
"P. pseudosyringae","Rhododendron aganniphum",1,1,NA,NA,NA
"P. pseudosyringae","Vaccinium corymbosum",1,1,NA,NA,NA
"P. pseudosyringae","Vaccinium myrtillus",42,NA,35,7,NA
"P. pseudosyringae","Vaccinium vitis-idaea",1,NA,1,NA,NA
"P. pseudosyringae","Veronica vernicosa",1,1,NA,NA,NA
"P. ramorum","Abies procera",3,NA,1,2,"Yes"
"P. ramorum","Acer pensylvanicum",3,NA,1,2,NA
"P. ramorum","Acer pseudoplatanus",2,NA,NA,2,NA
"P. ramorum","Acer rubrum",1,NA,1,NA,NA
"P. ramorum","Aesculus hippocastanum",2,NA,NA,2,NA
"P. ramorum","Agarista populifolia",2,1,NA,1,NA
"P. ramorum","Arbutus unedo",1,NA,1,NA,NA
"P. ramorum","Aucuba japonica",2,NA,2,NA,NA
"P. ramorum","Camellia japonica",43,36,4,3,NA
"P. ramorum","Camellia reticulata",1,NA,1,NA,NA
"P. ramorum","Camellia sasanqua",1,1,NA,NA,NA
"P. ramorum","Camellia sinensis",4,2,2,NA,NA
"P. ramorum","Camellia × williamsii",11,6,3,2,NA
"P. ramorum","Castanea sativa",77,4,68,8,NA
"P. ramorum","Castanopsis tribuloides",1,NA,NA,1,NA
"P. ramorum","Cedrus libani",1,NA,1,NA,NA
"P. ramorum","Cephalotaxus harringtonii",1,NA,NA,1,NA
"P. ramorum","Chamaecyparis lawsoniana",7,NA,1,6,"Yes"
"P. ramorum","Chrysojasminum humile",1,1,1,NA,NA
"P. ramorum","Cinnamomum camphora",1,NA,1,NA,NA
"P. ramorum","Cornus capitata",12,1,11,NA,NA
"P. ramorum","Cornus kousa",1,NA,1,NA,NA
"P. ramorum","Crataegus germanica",1,NA,1,NA,NA
"P. ramorum","Daphne bholua",1,1,1,NA,NA
"P. ramorum","Drimys winteri",5,1,2,2,NA
"P. ramorum","Fagus sylvatica",13,NA,4,9,"Yes"
"P. ramorum","Fothergilla latifolia",2,NA,2,NA,NA
"P. ramorum","Fraxinus excelsior",2,NA,NA,2,NA
"P. ramorum","Garrya elliptica",4,2,2,NA,"Yes"
"P. ramorum","Gaultheria procumbens",1,1,NA,NA,NA
"P. ramorum","Gaultheria shallon",2,1,1,NA,NA
"P. ramorum","Griselinia littoralis",2,NA,NA,2,NA
