"plant_name","plant_name_full","Level.2","Level.1","Introduced","phyto.record","key.phyto.record","phyto.record.UK","key.phyto.record.UK","phyto.record.Scotland","key.phyto.record.Scotland","plant.in.GB"
"Pectinopitys ferruginea","Pectinopitys ferruginea","New Zealand","Australasia","0","Yes","Yes","","","","",""
"Juglans regia","Juglans regia","Northern Europe","Europe","1","","","","","","","Yes"
"Juglans regia","Juglans regia","Middle Europe","Europe","both","Yes","","","","","","Yes"
"Juglans regia","Juglans regia","Western Asia","Asia-Temperate","both","Yes","Yes","","","","","Yes"
"Juglans regia","Juglans regia","Macaronesia","Africa","1","","","","","","","Yes"
"Juglans regia","Juglans regia","Southeastern Europe","Europe","1","Yes","Yes","","","","","Yes"
"Juglans regia","Juglans regia","Middle Asia","Asia-Temperate","1","","","","","","","Yes"
"Juglans regia","Juglans regia","Southwestern Europe","Europe","1","Yes","Yes","","","","","Yes"
"Juglans regia","Juglans regia","Arabian Peninsula","Asia-Temperate","1","","","","","","","Yes"
"Juglans regia","Juglans regia","China","Asia-Temperate","1","","","","","","","Yes"
"Juglans regia","Juglans regia","Eastern Europe","Europe","1","","","","","","","Yes"
"Juglans regia","Juglans regia","Caucasus","Asia-Temperate","0","","","","","","","Yes"
"Juglans regia","Juglans regia","Northern Africa","Africa","1","","","","","","","Yes"
"Juglans regia","Juglans regia","Indian Subcontinent","Asia-Tropical","both","","","","","","","Yes"
"Juglans regia","Juglans regia","Mexico","Northern America","1","Yes","","","","","","Yes"
"Juglans regia","Juglans regia","Eastern Asia","Asia-Temperate","1","","","","","","","Yes"
"Juglans regia","Juglans regia","Indo-China","Asia-Tropical","1","","","","","","","Yes"
"Juglans nigra","Juglans nigra","Middle Europe","Europe","1","Yes","","","","","",""
"Juglans nigra","Juglans nigra","Southeastern U.S.A.","Northern America","0","","Yes","","","","",""
"Juglans nigra","Juglans nigra","North-Central U.S.A.","Northern America","0","","","","","","",""
"Juglans nigra","Juglans nigra","Northeastern U.S.A.","Northern America","both","","","","","","",""
"Juglans nigra","Juglans nigra","South-Central U.S.A.","Northern America","both","","","","","","",""
"Juglans nigra","Juglans nigra","Caucasus","Asia-Temperate","1","","","","","","",""
"Juglans nigra","Juglans nigra","Southeastern Europe","Europe","1","","","","","","",""
"Juglans nigra","Juglans nigra","Eastern Canada","Northern America","0","","","","","","",""
"Juglans nigra","Juglans nigra","Northern Europe","Europe","1","","","","","","",""
"Juglans nigra","Juglans nigra","Middle Asia","Asia-Temperate","1","","","","","","",""
"Juglans nigra","Juglans nigra","Indian Subcontinent","Asia-Tropical","1","","","","","","",""
"Kalmia latifolia","Kalmia latifolia","Southeastern U.S.A.","Northern America","0","","Yes","Yes","Yes","Yes","Yes",""
"Kalmia latifolia","Kalmia latifolia","Northeastern U.S.A.","Northern America","0","","","Yes","Yes","Yes","Yes",""
"Kalmia angustifolia","Kalmia angustifolia","Southeastern U.S.A.","Northern America","0","","","Yes","Yes","","","Yes"
"Kalmia angustifolia","Kalmia angustifolia","Northeastern U.S.A.","Northern America","0","","","Yes","Yes","","","Yes"
"Kalmia angustifolia","Kalmia angustifolia","Eastern Asia","Asia-Temperate","1","","","Yes","Yes","","","Yes"
"Kalmia angustifolia","Kalmia angustifolia","Northern Europe","Europe","1","Yes","Yes","Yes","Yes","","","Yes"
"Kalmia angustifolia","Kalmia angustifolia","Eastern Canada","Northern America","0","","","Yes","Yes","","","Yes"
"Kalmia angustifolia","Kalmia angustifolia","Middle Europe","Europe","1","","","Yes","Yes","","","Yes"
"Knightia excelsa","Knightia excelsa","New Zealand","Australasia","0","Yes","Yes","","","","",""
"Leycesteria formosa","Leycesteria formosa","Indian Subcontinent","Asia-Tropical","0","","","","","","","Yes"
"Leycesteria formosa","Leycesteria formosa","China","Asia-Temperate","0","","","","","","","Yes"
"Leycesteria formosa","Leycesteria formosa","Australia","Australasia","1","Yes","Yes","","","","","Yes"
"Leycesteria formosa","Leycesteria formosa","Indo-China","Asia-Tropical","0","","","","","","","Yes"
"Leycesteria formosa","Leycesteria formosa","Northern Europe","Europe","1","","","","","","","Yes"
"Leycesteria formosa","Leycesteria formosa","Macaronesia","Africa","1","","","","","","","Yes"
"Leycesteria formosa","Leycesteria formosa","Southwestern Europe","Europe","1","","","","","","","Yes"
"Leycesteria formosa","Leycesteria formosa","Southwestern U.S.A.","Northern America","1","","","","","","","Yes"
"Leucopogon pulchellus","Leucopogon pulchellus","Australia","Australasia","0","Yes","Yes","","","","",""
"Leucopogon glabellus","Leucopogon glabellus","Australia","Australasia","0","Yes","Yes","","","","",""
"Leucopogon fasciculatus","Leucopogon fasciculatus","New Zealand","Australasia","0","Yes","Yes","","","","",""
"Leucopogon lasiostachys","Leucopogon lasiostachys","Australia","Australasia","0","Yes","Yes","","","","",""
"Lissanthe strigosa","Lissanthe strigosa","Australia","Australasia","0","Yes","Yes","","","","",""
"Leucopogon virgatus","Leucopogon virgatus","Australia","Australasia","0","Yes","Yes","","","","",""
"Leucopogon verticillatus","Leucopogon verticillatus","Australia","Australasia","0","Yes","Yes","","","","",""
"Leucopogon collinus","Leucopogon collinus","Australia","Australasia","0","Yes","Yes","","","","",""
"Leptecophylla tameiameiae","Leptecophylla tameiameiae","North-Central Pacific","Pacific","0","Yes","Yes","","","","",""
"Leptecophylla tameiameiae","Leptecophylla tameiameiae","South-Central Pacific","Pacific","0","","","","","","",""
"Leptecophylla abietina","Leptecophylla abietina","Australia","Australasia","0","","","","","","",""
"Leptecophylla juniperina","Leptecophylla juniperina","Australia","Australasia","0","","","","","","",""
"Leptecophylla juniperina","Leptecophylla juniperina","New Zealand","Australasia","0","Yes","Yes","","","","",""
"Leucopogon australis","Leucopogon australis","Australia","Australasia","0","Yes","Yes","","","","",""
"Lonicera hispidula","Lonicera hispidula","Mexico","Northern America","0","","","","","","",""
"Lonicera hispidula","Lonicera hispidula","Northwestern U.S.A.","Northern America","0","","","","","","",""
"Lonicera hispidula","Lonicera hispidula","Western Canada","Northern America","0","","","","","","",""
"Lonicera hispidula","Lonicera hispidula","Southwestern U.S.A.","Northern America","0","","Yes","","","","",""
"Lupinus digitatus","Lupinus digitatus","Northern Africa","Africa","0","","","","","","",""
"Lupinus digitatus","Lupinus digitatus","West Tropical Africa","Africa","0","","","","","","",""
"Lupinus angustifolius","Lupinus angustifolius","Mongolia","Asia-Temperate","1","","","","","","",""
"Lupinus angustifolius","Lupinus angustifolius","Western Asia","Asia-Temperate","0","","","","","","",""
"Lupinus angustifolius","Lupinus angustifolius","North-Central Pacific","Pacific","1","","","","","","",""
"Lupinus angustifolius","Lupinus angustifolius","Eastern Europe","Europe","1","","","","","","",""
"Lupinus angustifolius","Lupinus angustifolius","Middle Europe","Europe","1","","","","","","",""
"Lupinus angustifolius","Lupinus angustifolius","Australia","Australasia","1","Yes","","","","","",""
"Lupinus angustifolius","Lupinus angustifolius","China","Asia-Temperate","1","","","","","","",""
"Lupinus angustifolius","Lupinus angustifolius","New Zealand","Australasia","1","Yes","Yes","","","","",""
"Lupinus angustifolius","Lupinus angustifolius","Central America","Southern America","1","","","","","","",""
"Lupinus angustifolius","Lupinus angustifolius","Caribbean","Southern America","1","","","","","","",""
"Lupinus angustifolius","Lupinus angustifolius","Northern Africa","Africa","both","","","","","","",""
"Lupinus angustifolius","Lupinus angustifolius","Southern South America","Southern America","1","","","","","","",""
"Lupinus angustifolius","Lupinus angustifolius","Southeastern Europe","Europe","both","","","","","","",""
"Lupinus angustifolius","Lupinus angustifolius","West-Central Tropical Africa","Africa","1","","","","","","",""
"Lupinus angustifolius","Lupinus angustifolius","Southeastern U.S.A.","Northern America","1","","","","","","",""
"Lupinus angustifolius","Lupinus angustifolius","Southern Africa","Africa","1","","","","","","",""
"Lupinus angustifolius","Lupinus angustifolius","Macaronesia","Africa","1","","","","","","",""
"Lupinus angustifolius","Lupinus angustifolius","Southwestern Europe","Europe","0","","","","","","",""
"Lupinus angustifolius","Lupinus angustifolius","Caucasus","Asia-Temperate","1","","","","","","",""
"Lupinus angustifolius","Lupinus angustifolius","Middle Asia","Asia-Temperate","1","","","","","","",""
"Lupinus angustifolius","Lupinus angustifolius","Eastern Asia","Asia-Temperate","1","","","","","","",""
"Lupinus angustifolius","Lupinus angustifolius","Indian Subcontinent","Asia-Tropical","1","","","","","","",""
