"Phytophthora","Host","Level.2","Level.1","UK","England","Scotland","Wales","N Ireland","Nation unknown"
"P. cinnamomi","Populus lasiocarpa","Northern Europe","Europe",2,NA,NA,NA,NA,2
"P. cinnamomi","Prunus domestica","Northern Europe","Europe",1,1,NA,NA,NA,NA
"P. cinnamomi","Prunus incisa","Northern Europe","Europe",1,1,NA,NA,NA,NA
"P. cinnamomi","Prunus laurocerasus","Northern Europe","Europe",1,1,NA,NA,NA,NA
"P. cinnamomi","Prunus lusitanica","Northern Europe","Europe",1,NA,1,NA,NA,NA
"P. cinnamomi","Pseudotsuga menziesii","Northern Europe","Europe",1,1,NA,NA,NA,NA
"P. cinnamomi","Quercus cerris","Northern Europe","Europe",2,1,NA,NA,NA,1
"P. cinnamomi","Quercus robur","Northern Europe","Europe",1,1,NA,NA,NA,NA
"P. cinnamomi","Quercus suber","Northern Europe","Europe",1,1,NA,NA,NA,NA
"P. cinnamomi","Rhododendron crassum","Northern Europe","Europe",4,4,NA,NA,NA,NA
"P. cinnamomi","Rhododendron formosum","Northern Europe","Europe",1,NA,1,NA,NA,NA
"P. cinnamomi","Rhododendron japonicum","Northern Europe","Europe",2,1,NA,NA,NA,1
"P. cinnamomi","Rhododendron maddenii","Northern Europe","Europe",3,1,NA,NA,NA,2
"P. cinnamomi","Rhododendron molle","Northern Europe","Europe",1,NA,NA,NA,NA,1
"P. cinnamomi","Rhododendron ponticum","Northern Europe","Europe",1,1,NA,NA,NA,NA
"P. cinnamomi","Rhododendron uvariifolium","Northern Europe","Europe",3,1,NA,NA,NA,2
"P. cinnamomi","Ribes uva-crispa","Northern Europe","Europe",3,1,NA,NA,NA,2
"P. cinnamomi","Rosa xanthina","Northern Europe","Europe",3,1,NA,NA,NA,2
"P. cinnamomi","Sequoiadendron giganteum","Northern Europe","Europe",1,NA,1,NA,NA,NA
"P. cinnamomi","Syringa vulgaris","Northern Europe","Europe",1,1,NA,NA,NA,NA
"P. cinnamomi","Tasmannia lanceolata","Northern Europe","Europe",1,NA,1,NA,NA,NA
"P. cinnamomi","Taxus baccata","Northern Europe","Europe",126,117,3,4,NA,2
"P. cinnamomi","Telopea speciosissima","Northern Europe","Europe",3,1,NA,NA,NA,2
"P. cinnamomi","Tsuga canadensis","Northern Europe","Europe",1,NA,1,NA,NA,NA
"P. cinnamomi","Tsuga heterophylla","Northern Europe","Europe",1,NA,1,NA,NA,NA
"P. cinnamomi","Vaccinium corymbosum","Northern Europe","Europe",5,4,1,NA,NA,NA
"P. cinnamomi","Vaccinium myrtillus","Northern Europe","Europe",1,NA,NA,1,NA,NA
"P. cinnamomi","Veronica albicans","Northern Europe","Europe",1,1,NA,NA,NA,NA
"P. cinnamomi","Viburnum plicatum","Northern Europe","Europe",2,2,NA,NA,NA,NA
"P. cinnamomi","Viburnum tinus","Northern Europe","Europe",2,2,NA,NA,NA,NA
"P. cinnamomi","Viburnum × burkwoodii","Northern Europe","Europe",1,1,NA,NA,NA,NA
"P. cinnamomi","Wisteria sinensis","Northern Europe","Europe",3,1,NA,NA,NA,2
"P. cinnamomi","× Hesperotropsis leylandii","Northern Europe","Europe",1,1,NA,NA,NA,NA
"P. kernoviae","Aesculus hippocastanum","Northern Europe","Europe",1,1,NA,NA,NA,NA
"P. kernoviae","Castanea sativa","Northern Europe","Europe",1,1,NA,NA,NA,NA
"P. kernoviae","Drimys winteri","Northern Europe","Europe",14,7,NA,3,NA,4
"P. kernoviae","Fagus sylvatica","Northern Europe","Europe",11,2,1,NA,NA,8
"P. kernoviae","Leucothoe fontanesiana","Northern Europe","Europe",1,1,NA,NA,NA,NA
"P. kernoviae","Magnolia delavayi","Northern Europe","Europe",1,1,NA,NA,NA,NA
"P. kernoviae","Magnolia doltsopa","Northern Europe","Europe",3,1,NA,NA,NA,2
"P. kernoviae","Magnolia sargentiana","Northern Europe","Europe",1,1,NA,NA,NA,NA
"P. kernoviae","Magnolia sprengeri","Northern Europe","Europe",1,1,NA,NA,NA,NA
"P. kernoviae","Magnolia stellata","Northern Europe","Europe",1,1,NA,NA,NA,NA
"P. kernoviae","Magnolia × brooklynensis","Northern Europe","Europe",1,1,NA,NA,NA,NA
"P. kernoviae","Pieris formosa","Northern Europe","Europe",9,6,NA,1,NA,2
"P. kernoviae","Pieris japonica","Northern Europe","Europe",11,3,NA,6,NA,2
"P. kernoviae","Quercus robur","Northern Europe","Europe",4,4,NA,NA,NA,NA
"P. kernoviae","Rhododendron augustinii","Northern Europe","Europe",1,NA,NA,1,NA,NA
"P. kernoviae","Rhododendron falconeri","Northern Europe","Europe",1,NA,NA,1,NA,NA
"P. kernoviae","Rhododendron luteum","Northern Europe","Europe",2,NA,NA,2,NA,NA
"P. kernoviae","Rhododendron ponticum","Northern Europe","Europe",197,175,NA,9,NA,13
"P. kernoviae","Rhododendron williamsianum","Northern Europe","Europe",1,1,NA,NA,NA,NA
"P. kernoviae","Sequoiadendron giganteum","Northern Europe","Europe",1,NA,NA,1,NA,NA
"P. kernoviae","Vaccinium angustifolium","Northern Europe","Europe",1,1,NA,NA,NA,NA
"P. kernoviae","Vaccinium myrtilloides","Northern Europe","Europe",3,3,NA,NA,NA,NA
"P. kernoviae","Vaccinium myrtillus","Northern Europe","Europe",77,73,NA,NA,NA,4
"P. pluvialis","Pseudotsuga menziesii","Northern Europe","Europe",3,NA,2,NA,NA,1
"P. pluvialis","Tsuga heterophylla","Northern Europe","Europe",30,NA,28,NA,NA,2
"P. pseudosyringae","Betula papyrifera","Northern Europe","Europe",1,1,NA,NA,NA,NA
"P. pseudosyringae","Betula pubescens","Northern Europe","Europe",1,NA,1,NA,NA,NA
"P. pseudosyringae","Fagus sylvatica","Northern Europe","Europe",14,3,5,NA,NA,6
"P. pseudosyringae","Magnolia salicifolia","Northern Europe","Europe",2,NA,2,NA,NA,NA
"P. pseudosyringae","Nothofagus alpina","Northern Europe","Europe",6,NA,NA,NA,NA,6
"P. pseudosyringae","Nothofagus obliqua","Northern Europe","Europe",13,NA,NA,NA,NA,13
"P. pseudosyringae","Pieris floribunda","Northern Europe","Europe",1,NA,1,NA,NA,NA
"P. pseudosyringae","Rhododendron aganniphum","Northern Europe","Europe",1,1,NA,NA,NA,NA
"P. pseudosyringae","Vaccinium corymbosum","Northern Europe","Europe",1,1,NA,NA,NA,NA
"P. pseudosyringae","Vaccinium myrtillus","Northern Europe","Europe",42,25,NA,10,NA,7
"P. pseudosyringae","Vaccinium vitis-idaea","Northern Europe","Europe",1,1,NA,NA,NA,NA
"P. pseudosyringae","Veronica vernicosa","Northern Europe","Europe",1,1,NA,NA,NA,NA
"P. ramorum","Abies procera","Northern Europe","Europe",3,NA,1,NA,1,1
"P. ramorum","Acer pensylvanicum","Northern Europe","Europe",3,1,NA,NA,NA,2
"P. ramorum","Acer pseudoplatanus","Northern Europe","Europe",2,1,NA,NA,NA,1
"P. ramorum","Acer rubrum","Northern Europe","Europe",1,1,NA,NA,NA,NA
"P. ramorum","Aesculus hippocastanum","Northern Europe","Europe",2,NA,NA,NA,NA,2
"P. ramorum","Agarista populifolia","Northern Europe","Europe",2,1,NA,1,NA,NA
"P. ramorum","Arbutus unedo","Northern Europe","Europe",1,1,NA,NA,NA,NA
"P. ramorum","Aucuba japonica","Northern Europe","Europe",2,NA,NA,2,NA,NA
