"Phytophthora","Host","Total","Trade","widerEnvironment","Unknown","PxH in Scotland?"
"P. pseudosyringae","Pieris",1,NA,1,NA,"Yes"
"P. pseudosyringae","Quercus",6,NA,NA,6,"Yes"
"P. pseudosyringae","Rhododendron",2,2,NA,NA,"Yes"
"P. pseudosyringae","Tilia",1,NA,NA,1,NA
"P. pseudosyringae","Vaccinium",55,1,47,7,NA
"P. pseudosyringae","Veronica",1,1,NA,NA,NA
"P. ramorum","Abies",4,1,2,2,"Yes"
"P. ramorum","Acer",9,NA,5,4,NA
"P. ramorum","Aesculus",2,NA,NA,2,NA
"P. ramorum","Agarista",2,1,NA,1,NA
"P. ramorum","Arbutus",1,NA,1,NA,NA
"P. ramorum","Aucuba",2,NA,2,NA,NA
"P. ramorum","Berberis",1,1,1,NA,NA
"P. ramorum","Betula",1,NA,NA,1,NA
"P. ramorum","Camellia",197,135,49,17,NA
"P. ramorum","Castanea",82,4,73,8,NA
"P. ramorum","Castanopsis",1,NA,NA,1,NA
"P. ramorum","Cedrus",1,NA,1,NA,NA
"P. ramorum","Cephalotaxus",1,NA,NA,1,NA
"P. ramorum","Chaenomeles",1,NA,NA,1,NA
"P. ramorum","Chamaecyparis",7,NA,1,6,"Yes"
"P. ramorum","Choisya",2,2,NA,NA,NA
"P. ramorum","Chrysojasminum",1,1,1,NA,NA
"P. ramorum","Cinnamomum",2,1,2,NA,NA
"P. ramorum","Cornus",18,3,17,NA,NA
"P. ramorum","Corylopsis",1,NA,1,NA,NA
"P. ramorum","Cotoneaster",3,1,3,NA,NA
"P. ramorum","Crataegus",1,NA,1,NA,NA
"P. ramorum","Daphne",1,1,1,NA,NA
"P. ramorum","Drimys",8,1,5,2,NA
"P. ramorum","Elaeagnus",1,NA,1,NA,NA
"P. ramorum","Euonymus",1,1,1,NA,NA
"P. ramorum","Exochorda",1,NA,1,NA,NA
"P. ramorum","Fagus",18,NA,6,12,"Yes"
"P. ramorum","Fothergilla",2,NA,2,NA,NA
"P. ramorum","Fraxinus",2,NA,NA,2,NA
"P. ramorum","Garrya",7,2,5,NA,"Yes"
"P. ramorum","Gaultheria",5,3,2,NA,NA
"P. ramorum","Griselinia",4,NA,1,3,NA
"P. ramorum","Hamamelis",35,9,21,9,NA
"P. ramorum","Ilex",10,3,7,NA,NA
"P. ramorum","Kalmia",70,31,46,3,"Yes"
"P. ramorum","Larix",4061,NA,4047,14,"Yes"
"P. ramorum","Laurus",4,3,1,NA,NA
"P. ramorum","Leucothoe",15,9,2,4,NA
"P. ramorum","Ligustrum",1,NA,1,NA,NA
"P. ramorum","Lithocarpus",1,NA,1,NA,NA
"P. ramorum","Magnolia",317,152,220,12,"Yes"
"P. ramorum","Nephrolepis",1,NA,1,NA,NA
"P. ramorum","Nothofagus",5,NA,1,4,"Yes"
"P. ramorum","Osmanthus",13,6,2,5,"Yes"
"P. ramorum","Parrotia",8,1,4,3,NA
"P. ramorum","Photinia",4,3,1,NA,NA
"P. ramorum","Picea",25,NA,25,NA,"Yes"
"P. ramorum","Pieris",240,75,173,19,"Yes"
"P. ramorum","Pinus",1,1,NA,NA,NA
"P. ramorum","Pittosporum",1,1,NA,NA,NA
"P. ramorum","Platanus",1,NA,1,NA,NA
"P. ramorum","Prunus",4,1,3,NA,NA
"P. ramorum","Quercus",65,20,43,17,NA
"P. ramorum","Rhododendron",4484,943,3641,126,"Yes"
"P. ramorum","Ribes",2,1,1,NA,NA
"P. ramorum","Rosa",3,NA,2,1,NA
"P. ramorum","Sarcococca",2,NA,NA,2,NA
"P. ramorum","Schima",2,NA,NA,2,NA
"P. ramorum","Sequoia",3,NA,3,NA,NA
"P. ramorum","Skimmia",1,1,NA,NA,NA
"P. ramorum","Sorbus",3,NA,1,2,NA
"P. ramorum","Stranvaesia",2,1,2,NA,NA
"P. ramorum","Syringa",4,1,1,2,NA
"P. ramorum","Taxus",3,1,1,1,NA
"P. ramorum","Tsuga",10,NA,10,NA,"Yes"
"P. ramorum","Umbellularia",1,1,1,NA,NA
"P. ramorum","Vaccinium",124,6,117,2,"Yes"
"P. ramorum","Viburnum",478,264,154,83,"Yes"
"P. ramorum","Viscum",1,NA,1,NA,NA
