"plant_genus","Level.2","Level.1","Introduced","phyto.record","key.phyto.record","phyto.record.UK","key.phyto.record.UK","phyto.record.Scotland","key.phyto.record.Scotland","In.GB"
"Archontophoenix","Caribbean","Southern America","1","","","","","","",""
"Archontophoenix","New Zealand","Australasia","1","","","","","","",""
"Aucuba","Middle Europe","Europe","1","","","Yes","Yes","Yes","Yes",""
"Aucuba","China","Asia-Temperate","0","","","Yes","Yes","Yes","Yes",""
"Aucuba","Indian Subcontinent","Asia-Tropical","0","","","Yes","Yes","Yes","Yes",""
"Aucuba","Indo-China","Asia-Tropical","0","","","Yes","Yes","Yes","Yes",""
"Aucuba","Eastern Asia","Asia-Temperate","0","Yes","","Yes","Yes","Yes","Yes",""
"Aucuba","Northwestern U.S.A.","Northern America","1","","","Yes","Yes","Yes","Yes",""
"Aucuba","Southeastern U.S.A.","Northern America","1","","Yes","Yes","Yes","Yes","Yes",""
"Aucuba","Southwestern Europe","Europe","1","","","Yes","Yes","Yes","Yes",""
"Backhousia","Australia","Australasia","0","Yes","Yes","","","","",""
"Betula","Northeastern U.S.A.","Northern America","0","","","Yes","Yes","Yes","Yes","Yes"
"Betula","North-Central U.S.A.","Northern America","0","","","Yes","Yes","Yes","Yes","Yes"
"Betula","Mongolia","Asia-Temperate","0","","","Yes","Yes","Yes","Yes","Yes"
"Betula","Eastern Canada","Northern America","0","","","Yes","Yes","Yes","Yes","Yes"
"Betula","Middle Europe","Europe","0","Yes","","Yes","Yes","Yes","Yes","Yes"
"Betula","Southeastern Europe","Europe","0","","","Yes","Yes","Yes","Yes","Yes"
"Betula","Northwestern U.S.A.","Northern America","0","","","Yes","Yes","Yes","Yes","Yes"
"Betula","Subarctic America","Northern America","0","","","Yes","Yes","Yes","Yes","Yes"
"Betula","Southwestern U.S.A.","Northern America","0","","","Yes","Yes","Yes","Yes","Yes"
"Betula","Indian Subcontinent","Asia-Tropical","0","","","Yes","Yes","Yes","Yes","Yes"
"Betula","Southwestern Europe","Europe","0","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Betula","China","Asia-Temperate","0","","","Yes","Yes","Yes","Yes","Yes"
"Betula","Indo-China","Asia-Tropical","0","","","Yes","Yes","Yes","Yes","Yes"
"Betula","Western Canada","Northern America","0","","","Yes","Yes","Yes","Yes","Yes"
"Betula","Northern Europe","Europe","both","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Betula","New Zealand","Australasia","1","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Betula","Siberia","Asia-Temperate","0","","","Yes","Yes","Yes","Yes","Yes"
"Betula","Northern Africa","Africa","0","","","Yes","Yes","Yes","Yes","Yes"
"Betula","Southeastern U.S.A.","Northern America","0","","","Yes","Yes","Yes","Yes","Yes"
"Betula","Russian Far East","Asia-Temperate","0","","","Yes","Yes","Yes","Yes","Yes"
"Betula","Eastern Europe","Europe","0","Yes","","Yes","Yes","Yes","Yes","Yes"
"Betula","South-Central U.S.A.","Northern America","0","","","Yes","Yes","Yes","Yes","Yes"
"Betula","Australia","Australasia","1","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Betula","Western Asia","Asia-Temperate","0","","","Yes","Yes","Yes","Yes","Yes"
"Betula","Southern South America","Southern America","both","","","Yes","Yes","Yes","Yes","Yes"
"Betula","Middle Asia","Asia-Temperate","0","","","Yes","Yes","Yes","Yes","Yes"
"Betula","Caucasus","Asia-Temperate","0","","","Yes","Yes","Yes","Yes","Yes"
"Betula","Eastern Asia","Asia-Temperate","0","Yes","","Yes","Yes","Yes","Yes","Yes"
"Caladenia","Australia","Australasia","0","Yes","Yes","","","","",""
"Caladenia","Malesia","Asia-Tropical","0","","","","","","",""
"Caladenia","Southwestern Pacific","Pacific","0","","","","","","",""
"Caladenia","New Zealand","Australasia","0","","","","","","",""
"Caleana","Australia","Australasia","0","Yes","Yes","","","","",""
"Caleana","New Zealand","Australasia","0","","","","","","",""
"Calytrix","Australia","Australasia","0","Yes","Yes","","","","",""
"Carpinus","North-Central U.S.A.","Northern America","0","","","Yes","Yes","","","Yes"
