"Phytophthora","Host","Level.3","Level.2","Level.1","Total","PxH.in.Scotland"
"P. cinnamomi","Gaultheria",NA,"New Zealand","Australasia",4,NA
"P. cinnamomi","Gaultheria",NA,NA,"Northern America",1,NA
"P. cinnamomi","Geniostoma",NA,"New Zealand","Australasia",2,NA
"P. cinnamomi","Gerbera",NA,"Australia","Australasia",1,"Yes"
"P. cinnamomi","Gevuina",NA,"Australia","Australasia",2,NA
"P. cinnamomi","Gevuina",NA,"New Zealand","Australasia",4,NA
"P. cinnamomi","Ginkgo",NA,"Australia","Australasia",1,NA
"P. cinnamomi","Gleichenia","Hawaii","North-Central Pacific","Pacific",1,NA
"P. cinnamomi","Glochidion","Taiwan","Eastern Asia","Asia-Temperate",2,NA
"P. cinnamomi","Gompholobium",NA,"Australia","Australasia",5,NA
"P. cinnamomi","Gonocarpus",NA,"Australia","Australasia",6,NA
"P. cinnamomi","Goodenia",NA,"Australia","Australasia",2,NA
"P. cinnamomi","Grevillea",NA,"Australia","Australasia",30,NA
"P. cinnamomi","Griselinia","New Zealand North","New Zealand","Australasia",1,NA
"P. cinnamomi","Griselinia",NA,"New Zealand","Australasia",5,NA
"P. cinnamomi","Gymnostoma",NA,"Australia","Australasia",2,NA
"P. cinnamomi","Hakea",NA,"Australia","Australasia",15,NA
"P. cinnamomi","Hakea",NA,"New Zealand","Australasia",4,NA
"P. cinnamomi","Hakea",NA,"Southern Africa","Africa",2,NA
"P. cinnamomi","Harpullia",NA,"Australia","Australasia",1,NA
"P. cinnamomi","Hedera","Denmark","Northern Europe","Europe",2,NA
"P. cinnamomi","Hedycarya",NA,"New Zealand","Australasia",1,NA
"P. cinnamomi","Helleborus",NA,"Australia","Australasia",1,NA
"P. cinnamomi","Helmholtzia",NA,"Australia","Australasia",1,NA
"P. cinnamomi","Hesperocyparis",NA,"Australia","Australasia",5,NA
"P. cinnamomi","Hesperocyparis",NA,"New Zealand","Australasia",6,NA
"P. cinnamomi","Hesperoyucca",NA,"Australia","Australasia",3,NA
"P. cinnamomi","Heuchera","North Carolina","Southeastern U.S.A.","Northern America",1,NA
"P. cinnamomi","Hibbertia",NA,"Australia","Australasia",24,NA
"P. cinnamomi","Hibiscus",NA,"Australia","Australasia",1,NA
"P. cinnamomi","Hovea",NA,"Australia","Australasia",6,NA
"P. cinnamomi","Hudsonia","North Carolina","Southeastern U.S.A.","Northern America",1,NA
"P. cinnamomi","Hudsonia",NA,NA,"Northern America",1,NA
"P. cinnamomi","Hydrangea","Hawaii","North-Central Pacific","Pacific",1,NA
"P. cinnamomi","Hydrangea",NA,NA,"Northern America",1,NA
"P. cinnamomi","Hydrocotyle",NA,"Australia","Australasia",2,NA
"P. cinnamomi","Hypericum","Japan","Eastern Asia","Asia-Temperate",5,NA
"P. cinnamomi","Hypericum","Taiwan","Eastern Asia","Asia-Temperate",3,NA
"P. cinnamomi","Hypocalymma","Western Australia","Australia","Australasia",1,NA
"P. cinnamomi","Hypocalymma",NA,"Australia","Australasia",8,NA
"P. cinnamomi","Hypochaeris",NA,"Australia","Australasia",2,NA
"P. cinnamomi","Iberis","California","Southwestern U.S.A.","Northern America",1,NA
"P. cinnamomi","Iberis","Yugoslavia","Southeastern Europe","Europe",1,NA
"P. cinnamomi","Idesia","Korea","Eastern Asia","Asia-Temperate",2,NA
"P. cinnamomi","Ilex","Florida","Southeastern U.S.A.","Northern America",1,"Yes"
"P. cinnamomi","Ilex","Maryland","Southeastern U.S.A.","Northern America",4,"Yes"
"P. cinnamomi","Ilex","North Carolina","Southeastern U.S.A.","Northern America",3,"Yes"
"P. cinnamomi","Ilex","Poland","Middle Europe","Europe",2,"Yes"
"P. cinnamomi","Ilex","Virginia","Southeastern U.S.A.","Northern America",1,"Yes"
"P. cinnamomi","Ilex",NA,NA,"Northern America",6,"Yes"
"P. cinnamomi","Isopogon",NA,"Australia","Australasia",17,NA
"P. cinnamomi","Isopogon",NA,"New Zealand","Australasia",1,NA
"P. cinnamomi","Itea","Maryland","Southeastern U.S.A.","Northern America",1,NA
"P. cinnamomi","Jacaranda",NA,"Australia","Australasia",2,NA
"P. cinnamomi","Juglans","California","Southwestern U.S.A.","Northern America",6,NA
"P. cinnamomi","Juglans","France","Southwestern Europe","Europe",2,NA
"P. cinnamomi","Juglans","Italy","Southeastern Europe","Europe",3,NA
"P. cinnamomi","Juglans","Louisiana","Southeastern U.S.A.","Northern America",1,NA
"P. cinnamomi","Juglans","Portugal","Southwestern Europe","Europe",1,NA
"P. cinnamomi","Juglans","Spain","Southwestern Europe","Europe",2,NA
"P. cinnamomi","Juglans","Turkey","Western Asia","Asia-Temperate",3,NA
"P. cinnamomi","Juglans","Yugoslavia","Southeastern Europe","Europe",1,NA
"P. cinnamomi","Juglans",NA,"Australia","Australasia",7,NA
"P. cinnamomi","Juglans",NA,"New Zealand","Australasia",6,NA
"P. cinnamomi","Juglans",NA,"Southern South America","Southern America",18,NA
"P. cinnamomi","Juglans",NA,NA,"Northern America",8,NA
"P. cinnamomi","Juniperus","California","Southwestern U.S.A.","Northern America",3,"Yes"
"P. cinnamomi","Juniperus","Georgia","Southeastern U.S.A.","Northern America",1,"Yes"
"P. cinnamomi","Juniperus","Italy","Southeastern Europe","Europe",2,"Yes"
"P. cinnamomi","Juniperus","Oregon","Northwestern U.S.A.","Northern America",2,"Yes"
"P. cinnamomi","Juniperus","Sardegna","Southwestern Europe","Europe",1,"Yes"
"P. cinnamomi","Juniperus",NA,"Australia","Australasia",4,"Yes"
"P. cinnamomi","Juniperus",NA,"New Zealand","Australasia",9,"Yes"
"P. cinnamomi","Juniperus",NA,NA,"Northern America",3,"Yes"
"P. cinnamomi","Kadua","Hawaii","North-Central Pacific","Pacific",1,NA
"P. cinnamomi","Kalmia","Italy","Southeastern Europe","Europe",3,"Yes"
"P. cinnamomi","Kalmia","Maryland","Southeastern U.S.A.","Northern America",1,"Yes"
"P. cinnamomi","Kalmia","North Carolina","Southeastern U.S.A.","Northern America",1,"Yes"
"P. cinnamomi","Kalmia","Spain","Southwestern Europe","Europe",1,"Yes"
"P. cinnamomi","Kalmia",NA,NA,"Northern America",3,"Yes"
"P. cinnamomi","Kingia",NA,"Australia","Australasia",1,NA
"P. cinnamomi","Knightia",NA,"New Zealand","Australasia",5,NA
"P. cinnamomi","Kunzea",NA,"Australia","Australasia",11,NA
"P. cinnamomi","Lactuca",NA,"Australia","Australasia",1,NA
"P. cinnamomi","Lagunaria",NA,"Australia","Australasia",1,NA
"P. cinnamomi","Larix","Korea","Eastern Asia","Asia-Temperate",2,NA
"P. cinnamomi","Larix","Maryland","Southeastern U.S.A.","Northern America",2,NA
"P. cinnamomi","Larix",NA,"New Zealand","Australasia",12,NA
"P. cinnamomi","Larix",NA,NA,"Northern America",5,NA
"P. cinnamomi","Lasiopetalum",NA,"Australia","Australasia",2,NA
"P. cinnamomi","Laurus","Spain","Southwestern Europe","Europe",2,"Yes"
"P. cinnamomi","Lavandula","Poland","Middle Europe","Europe",1,NA
"P. cinnamomi","Lavandula",NA,NA,"Europe",1,NA
"P. cinnamomi","Lepidosperma",NA,"Australia","Australasia",3,NA
"P. cinnamomi","Leptecophylla","Hawaii","North-Central Pacific","Pacific",1,NA
"P. cinnamomi","Leptecophylla",NA,"New Zealand","Australasia",4,NA
"P. cinnamomi","Leptecophylla",NA,NA,"Northern America",1,NA
"P. cinnamomi","Leptospermum",NA,"Australia","Australasia",9,NA
"P. cinnamomi","Leptospermum",NA,"New Zealand","Australasia",5,NA
"P. cinnamomi","Leschenaultia",NA,"Australia","Australasia",1,NA
"P. cinnamomi","Leucadendron","California","Southwestern U.S.A.","Northern America",6,NA
"P. cinnamomi","Leucadendron","Cape Provinces","Southern Africa","Africa",6,NA
"P. cinnamomi","Leucadendron","Hawaii","North-Central Pacific","Pacific",1,NA
"P. cinnamomi","Leucadendron","Turkey","Western Asia","Asia-Temperate",2,NA
"P. cinnamomi","Leucadendron",NA,"Australia","Australasia",18,NA
"P. cinnamomi","Leucadendron",NA,"New Zealand","Australasia",13,NA
"P. cinnamomi","Leucadendron",NA,"Southern Africa","Africa",141,NA
"P. cinnamomi","Leucadendron",NA,NA,"Northern America",7,NA
"P. cinnamomi","Leucophyllum","Florida","Southeastern U.S.A.","Northern America",1,NA
"P. cinnamomi","Leucophyllum",NA,NA,"Northern America",1,NA
"P. cinnamomi","Leucopogon",NA,"Australia","Australasia",21,NA
"P. cinnamomi","Leucopogon",NA,"New Zealand","Australasia",4,NA
"P. cinnamomi","Leucospermum","California","Southwestern U.S.A.","Northern America",2,NA
"P. cinnamomi","Leucospermum","Cape Provinces","Southern Africa","Africa",12,NA
"P. cinnamomi","Leucospermum","Hawaii","North-Central Pacific","Pacific",3,NA
"P. cinnamomi","Leucospermum",NA,"Australia","Australasia",12,NA
"P. cinnamomi","Leucospermum",NA,"New Zealand","Australasia",3,NA
"P. cinnamomi","Leucospermum",NA,"Southern Africa","Africa",146,NA
"P. cinnamomi","Leucospermum",NA,NA,"Northern America",2,NA
"P. cinnamomi","Leycesteria",NA,"Australia","Australasia",1,NA
"P. cinnamomi","Lilium","Korea","Eastern Asia","Asia-Temperate",2,NA
"P. cinnamomi","Lilium","Taiwan","Eastern Asia","Asia-Temperate",1,NA
"P. cinnamomi","Lilium",NA,"Australia","Australasia",1,NA
"P. cinnamomi","Limonium","Japan","Eastern Asia","Asia-Temperate",2,NA
"P. cinnamomi","Liparia",NA,"Southern Africa","Africa",2,NA
"P. cinnamomi","Liriodendron",NA,NA,"Northern America",2,NA
"P. cinnamomi","Lissanthe",NA,"Australia","Australasia",2,NA
"P. cinnamomi","Litchi",NA,"Australia","Australasia",3,NA
"P. cinnamomi","Lithocarpus","Taiwan","Eastern Asia","Asia-Temperate",4,NA
"P. cinnamomi","Litsea",NA,"New Zealand","Australasia",1,NA
"P. cinnamomi","Lomatia",NA,"Australia","Australasia",2,NA
"P. cinnamomi","Lophomyrtus",NA,"New Zealand","Australasia",4,NA
"P. cinnamomi","Lophostemon",NA,"Australia","Australasia",3,NA
"P. cinnamomi","Lophostemon",NA,"New Zealand","Australasia",1,NA
"P. cinnamomi","Luma",NA,"Southern South America","Southern America",3,NA
"P. cinnamomi","Lupinus",NA,"Australia","Australasia",19,NA
"P. cinnamomi","Lupinus",NA,"New Zealand","Australasia",4,NA
"P. cinnamomi","Lycopodium","Hawaii","North-Central Pacific","Pacific",1,NA
"P. cinnamomi","Lycopodium",NA,"Australia","Australasia",4,NA
"P. cinnamomi","Lycopodium",NA,"New Zealand","Australasia",4,NA
"P. cinnamomi","Macadamia","California","Southwestern U.S.A.","Northern America",5,NA
"P. cinnamomi","Macadamia","Hawaii","North-Central Pacific","Pacific",2,NA
"P. cinnamomi","Macadamia","New South Wales","Australia","Australasia",9,NA
"P. cinnamomi","Macadamia","Queensland","Australia","Australasia",1,NA
"P. cinnamomi","Macadamia","Taiwan","Eastern Asia","Asia-Temperate",1,NA
"P. cinnamomi","Macadamia",NA,"Australia","Australasia",12,NA
"P. cinnamomi","Macadamia",NA,"New Zealand","Australasia",9,NA
"P. cinnamomi","Macadamia",NA,"Southern Africa","Africa",2,NA
"P. cinnamomi","Macadamia",NA,NA,"Northern America",5,NA
"P. cinnamomi","Machilus","Korea","Eastern Asia","Asia-Temperate",2,NA
"P. cinnamomi","Machilus","Taiwan","Eastern Asia","Asia-Temperate",3,NA
"P. cinnamomi","Macrozamia",NA,"Australia","Australasia",5,NA
"P. cinnamomi","Magnolia","Spain","Southwestern Europe","Europe",2,NA
"P. cinnamomi","Magnolia","Vietnam","Indo-China","Asia-Tropical",1,NA
"P. cinnamomi","Magnolia",NA,"Australia","Australasia",1,NA
"P. cinnamomi","Magnolia",NA,"New Zealand","Australasia",2,NA
"P. cinnamomi","Mandevilla",NA,"Mexico","Northern America",2,NA
"P. cinnamomi","Melaleuca","Spain","Southwestern Europe","Europe",1,NA
"P. cinnamomi","Melaleuca",NA,"Australia","Australasia",28,NA
"P. cinnamomi","Melanopsidium","Guatemala","Central America","Southern America",1,NA
"P. cinnamomi","Melanopsidium","Taiwan","Eastern Asia","Asia-Temperate",1,NA
"P. cinnamomi","Melanopsidium",NA,"China","Asia-Temperate",1,NA
"P. cinnamomi","Melastoma","Hawaii","North-Central Pacific","Pacific",1,NA
"P. cinnamomi","Melastoma",NA,NA,"Northern America",1,NA
"P. cinnamomi","Melicytus",NA,"New Zealand","Australasia",4,NA
"P. cinnamomi","Meryta",NA,"New Zealand","Australasia",4,NA
"P. cinnamomi","Metrosideros","Hawaii","North-Central Pacific","Pacific",4,NA
"P. cinnamomi","Metrosideros",NA,"Australia","Australasia",4,NA
"P. cinnamomi","Metrosideros",NA,"New Zealand","Australasia",5,NA
"P. cinnamomi","Microbiota","Poland","Middle Europe","Europe",2,NA
"P. cinnamomi","Micromyrtus",NA,"Australia","Australasia",2,NA
"P. cinnamomi","Mimetes",NA,"Southern Africa","Africa",9,NA
"P. cinnamomi","Mirbelia",NA,"Australia","Australasia",2,NA
"P. cinnamomi","Mitrasacme",NA,"Australia","Australasia",1,NA
"P. cinnamomi","Monotoca",NA,"Australia","Australasia",5,NA
"P. cinnamomi","Mucuna","Hawaii","North-Central Pacific","Pacific",1,NA
"P. cinnamomi","Mucuna",NA,NA,"Northern America",1,NA
"P. cinnamomi","Myrsine","Hawaii","North-Central Pacific","Pacific",2,NA
"P. cinnamomi","Myrsine",NA,"New Zealand","Australasia",5,NA
"P. cinnamomi","Myrsine",NA,NA,"Northern America",2,NA
"P. cinnamomi","Myrtus","Yugoslavia","Southeastern Europe","Europe",4,NA
"P. cinnamomi","Nematolepis",NA,"Australia","Australasia",3,NA
"P. cinnamomi","Neolitsea","Vietnam","Indo-China","Asia-Tropical",1,NA
"P. cinnamomi","Neopanax",NA,"New Zealand","Australasia",4,NA
"P. cinnamomi","Nestegis",NA,"New Zealand","Australasia",4,NA
"P. cinnamomi","Nicotiana",NA,NA,NA,1,NA
"P. cinnamomi","Nothofagus","New Guinea","Papuasia","Asia-Tropical",2,NA
"P. cinnamomi","Nothofagus",NA,"Australia","Australasia",15,NA
"P. cinnamomi","Nothofagus",NA,"New Zealand","Australasia",24,NA
"P. cinnamomi","Nothofagus",NA,"Southern South America","Southern America",3,NA
"P. cinnamomi","Notholithocarpus","California","Southwestern U.S.A.","Northern America",1,NA
"P. cinnamomi","Notholithocarpus","Oregon","Northwestern U.S.A.","Northern America",3,NA
"P. cinnamomi","Notholithocarpus",NA,NA,"Northern America",4,NA
"P. cinnamomi","Nymania",NA,"Southern Africa","Africa",2,NA
"P. cinnamomi","Ocotea","Honduras","Central America","Southern America",2,NA
"P. cinnamomi","Ocotea","Peru","Western South America","Southern America",2,NA
"P. cinnamomi","Ocotea",NA,"Southern Africa","Africa",2,NA
"P. cinnamomi","Olea","Italy","Southeastern Europe","Europe",1,NA
"P. cinnamomi","Olea",NA,"Australia","Australasia",3,NA
"P. cinnamomi","Olearia",NA,"Australia","Australasia",3,NA
"P. cinnamomi","Olearia",NA,"New Zealand","Australasia",4,NA
"P. cinnamomi","Orothamnus",NA,"Southern Africa","Africa",6,NA
"P. cinnamomi","Oxylobium",NA,"Australia","Australasia",11,NA
"P. cinnamomi","Panax","Korea","Eastern Asia","Asia-Temperate",1,NA
"P. cinnamomi","Pandanus","Hawaii","North-Central Pacific","Pacific",1,NA
"P. cinnamomi","Pandorea",NA,"Australia","Australasia",1,NA
"P. cinnamomi","Paranomus",NA,"Southern Africa","Africa",4,NA
"P. cinnamomi","Passiflora","Fiji","Southwestern Pacific","Pacific",2,NA
"P. cinnamomi","Passiflora","New Zealand North","New Zealand","Australasia",1,NA
"P. cinnamomi","Passiflora",NA,"Australia","Australasia",3,NA
"P. cinnamomi","Passiflora",NA,"Brazil","Southern America",1,NA
"P. cinnamomi","Passiflora",NA,"New Zealand","Australasia",5,NA
"P. cinnamomi","Patersonia",NA,"Australia","Australasia",4,NA
"P. cinnamomi","Pectinopitys",NA,"New Zealand","Australasia",4,NA
"P. cinnamomi","Pentameris",NA,"Australia","Australasia",2,NA
"P. cinnamomi","Pericallis",NA,"New Zealand","Australasia",2,"Yes"
"P. cinnamomi","Pericalymma",NA,"Australia","Australasia",2,NA
"P. cinnamomi","Perrottetia","Hawaii","North-Central Pacific","Pacific",1,NA
"P. cinnamomi","Perrottetia",NA,NA,"Northern America",1,NA
"P. cinnamomi","Persea","Bolivia","Western South America","Southern America",2,NA
"P. cinnamomi","Persea","California","Southwestern U.S.A.","Northern America",13,NA
"P. cinnamomi","Persea","Canary Is.","Macaronesia","Africa",1,NA
"P. cinnamomi","Persea","Colombia","Western South America","Southern America",108,NA
"P. cinnamomi","Persea","Costa Rica","Central America","Southern America",4,NA
"P. cinnamomi","Persea","Cuba","Caribbean","Southern America",1,NA
"P. cinnamomi","Persea","El Salvador","Central America","Southern America",2,NA
"P. cinnamomi","Persea","Fiji","Southwestern Pacific","Pacific",2,NA
"P. cinnamomi","Persea","Florida","Southeastern U.S.A.","Northern America",2,NA
"P. cinnamomi","Persea","Greece","Southeastern Europe","Europe",1,NA
"P. cinnamomi","Persea","Guatemala","Central America","Southern America",1,NA
"P. cinnamomi","Persea","Hawaii","North-Central Pacific","Pacific",3,NA
"P. cinnamomi","Persea","Honduras","Central America","Southern America",3,NA
"P. cinnamomi","Persea","Italy","Southeastern Europe","Europe",2,NA
"P. cinnamomi","Persea","Kriti","Southeastern Europe","Europe",1,NA
"P. cinnamomi","Persea","Leeward Is.","Caribbean","Southern America",1,NA
"P. cinnamomi","Persea","Madagascar","Western Indian Ocean","Africa",1,NA
"P. cinnamomi","Persea","New Guinea","Papuasia","Asia-Tropical",4,NA
"P. cinnamomi","Persea","New Zealand North","New Zealand","Australasia",1,NA
"P. cinnamomi","Persea","Panamá","Central America","Southern America",2,NA
"P. cinnamomi","Persea","Peru","Western South America","Southern America",4,NA
"P. cinnamomi","Persea","Puerto Rico","Caribbean","Southern America",12,NA
"P. cinnamomi","Persea","Spain","Southwestern Europe","Europe",2,NA
"P. cinnamomi","Persea","Taiwan","Eastern Asia","Asia-Temperate",4,NA
"P. cinnamomi","Persea","Turkey","Western Asia","Asia-Temperate",4,NA
"P. cinnamomi","Persea","Venezuela","Northern South America","Southern America",3,NA
"P. cinnamomi","Persea","Windward Is.","Caribbean","Southern America",2,NA
"P. cinnamomi","Persea","Zambia","South Tropical Africa","Africa",2,NA
"P. cinnamomi","Persea","Zimbabwe","South Tropical Africa","Africa",1,NA
"P. cinnamomi","Persea",NA,"Australia","Australasia",131,NA
"P. cinnamomi","Persea",NA,"Brazil","Southern America",4,NA
"P. cinnamomi","Persea",NA,"China","Asia-Temperate",1,NA
"P. cinnamomi","Persea",NA,"Malesia","Asia-Tropical",4,NA
"P. cinnamomi","Persea",NA,"Mexico","Northern America",9,NA
"P. cinnamomi","Persea",NA,"New Zealand","Australasia",6,NA
